
CPU utilization for five seconds: 4%/0%; one minute: 3%; five minutes: 2%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1530      3255      0   0.00%   0.00%  0.00%   -    init
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         1970     34569      0   0.00%   0.00%  0.01%   -    sysmgr
 3936           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3937           10         5      2   0.00%   0.00%  0.00%   -    tftpd
 3938         2270     20858      0   0.00%   0.00%  0.01%   -    syslogd
 3939          100        23      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        62      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941         2770     16870      0   0.00%   0.00%  0.01%   -    platform
 3953           20       982      0   0.00%   0.00%  0.00%   -    klogd
 3957          220      3445      0   0.00%   0.00%  0.00%   -    vshd
 3960          270      5421      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           50      1356      0   0.00%   0.00%  0.00%   -    smm
 3962          310      5327      0   0.00%   0.00%  0.00%   -    session-mgr
 3963          400     16506      0   0.00%   0.00%  0.00%   -    psshelper
 3964          310      5242      0   0.00%   0.01%  0.00%   -    pixm
 3965           70     98349      0   0.00%   0.00%  0.00%   -    pdsd
 3966           30       316      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          210      3241      0   0.00%   0.00%  0.00%   -    licmgr
 3968          210       293      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          240      1610      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        50      2   0.00%   0.00%  0.00%   -    confcheck
 3971          240      2831      0   0.00%   0.00%  0.00%   -    capability
 3972          420     15936      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3980           30       278      0   0.00%   0.00%  0.00%   -    cisco
 3984         7580      5089      1   0.00%   0.00%  0.00%   -    clis
 3989          800      1638      0   0.00%   0.00%  0.00%   -    port-profile
 3996          300      5321      0   0.00%   0.00%  0.00%   -    xmlma
 3997          290      5296      0   0.00%   0.00%  0.00%   -    vmm
 3998          250      2028      0   0.00%   0.00%  0.00%   -    vman
 3999          370      5310      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          320      7966      0   0.00%   0.00%  0.00%   -    ttyd
 4001           70     32407      0   0.19%   0.19%  0.20%   -    sysinfo
 4002          380     15905      0   0.00%   0.00%  0.00%   -    sksd
 4004          200       366      0   0.00%   0.00%  0.00%   -    res_mgr
 4005          430     16079      0   0.00%   0.00%  0.00%   -    plugin
 4006          110       558      0   0.00%   0.00%  0.00%   -    patch-installer
 4007          210      1744      0   0.00%   0.00%  0.00%   -    mvsh
 4008           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 4009          350      5293      0   0.19%   0.01%  0.00%   -    module
 4012          150      1731      0   0.00%   0.00%  0.00%   -    evms
 4015          210      1471      0   0.00%   0.00%  0.00%   -    evmc
 4016          220       816      0   0.00%   0.00%  0.00%   -    crdcfg_server
 4017          150        35      4   0.00%   0.00%  0.00%   -    core-dmon
 4018          300      5188      0   0.00%   0.00%  0.00%   -    cli_acl
 4020          410      2059      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4021          530     15966      0   0.00%   0.00%  0.00%   -    securityd
 4022          340     15902      0   0.00%   0.00%  0.00%   -    cert_enroll
 4023          520     17300      0   0.00%   0.00%  0.00%   -    aaa
 4025            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 4026           70      2598      0   0.00%   0.00%  0.00%   -    l3vm
 4028           80     18185      0   0.00%   0.01%  0.00%   -    urib
 4032          430       503      0   0.00%   0.00%  0.00%   -    aclmgr
 4036        45280    841167      0   0.19%   0.32%  0.32%   -    ori_fwd
 4039        22460     17138      1   0.19%   0.14%  0.14%   -    port_client
 4042         6930      5575      1   0.00%   0.00%  0.00%   -    statsclient
 4046         1390    175110      0   0.00%   0.03%  0.04%   -    snmpd
 4048          230      5239      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4053          120       919      0   0.00%   0.00%  0.00%   -    npacl
 4059           80   1266358      0   0.39%   0.09%  0.08%   -    adjmgr
 4061           70      4307      0   0.00%   0.00%  0.00%   -    u6rib
 4071          160        33      4   0.00%   0.00%  0.00%   -    ExceptionLog
 4075         1660      8293      0   0.00%   0.00%  0.00%   -    bootvar
 4080          430      2998      0   0.00%   0.00%  0.00%   -    ifmgr
 4082          230      2839      0   0.00%   0.00%  0.00%   -    tcap
 4085          540     17367      0   0.00%   0.00%  0.00%   -    callhome
 4098          160     18645      0   0.00%   0.00%  0.00%   -    arp
 4103           70      1705      0   0.00%   0.00%  0.00%   -    icmpv6
 4132          120    126808      0   2.57%   0.28%  0.11%   -    l2fwd
 4135          100    122236      0   0.00%   0.04%  0.04%   -    pktmgr
 4163          150    237844      0   0.00%   0.07%  0.07%   -    netstack
 4200          550     15937      0   0.00%   0.00%  0.00%   -    radius
 4204          410      6439      0   0.00%   0.00%  0.00%   -    cdp
 4206          310      5713      0   0.00%   0.00%  0.00%   -    cfs
 4209           10         9      1   0.00%   0.00%  0.00%   -    ip_dummy
 4210           10         6      1   0.00%   0.00%  0.00%   -    ipv6_dummy
 4213          200      1191      0   0.00%   0.00%  0.00%   -    ntp
 4214          270      5853      0   0.00%   0.00%  0.00%   -    otm
