
OSPF Process 1 with Router ID 10.1.254.1
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       764     60 80000008            1
 Router    10.1.254.2      10.1.254.2      1134     60 80000008            1
 Router    10.1.254.3      10.1.254.3       757     96 8000000c            1
 Router    10.1.254.6      10.1.254.6      1891     60 80000007            1
 Sum-Net   10.1.10.0       10.1.254.1      1261     28 80000006            1
 Sum-Net   10.1.10.0       10.1.254.2      1085     28 80000006            1
 Sum-Net   10.1.10.254     10.1.254.1      1205     28 80000006            1
 Sum-Net   10.1.10.254     10.1.254.2      1190     28 80000006            2
 Sum-Net   10.1.20.0       10.1.254.1      1281     28 80000006            1
 Sum-Net   10.1.20.0       10.1.254.2      1366     28 80000006            1
 Sum-Net   10.1.20.254     10.1.254.1      1149     28 80000006            1
 Sum-Net   10.1.20.254     10.1.254.2      1129     28 80000006            2
 Sum-Net   10.1.30.0       10.1.254.1      1243     28 80000006            1
 Sum-Net   10.1.30.0       10.1.254.2      1225     28 80000006            1
 Sum-Net   10.1.30.254     10.1.254.1      1080     28 80000006            2
 Sum-Net   10.1.30.254     10.1.254.2      1211     28 80000006            1
 Sum-Net   10.1.40.0       10.1.254.1      1047     28 80000006            1
 Sum-Net   10.1.40.0       10.1.254.2      1227     28 80000006            1
 Sum-Net   10.1.40.254     10.1.254.1      1059     28 80000006            2
 Sum-Net   10.1.40.254     10.1.254.2      1272     28 80000006            1
 Sum-Net   10.1.50.0       10.1.254.3       757     28 80000007            2
 Sum-Net   10.1.60.0       10.1.254.3       757     28 80000007            2
 Sum-Net   10.1.110.0      10.1.254.1      1025     28 80000006            1
 Sum-Net   10.1.110.0      10.1.254.2      1131     28 80000006            1
 Sum-Net   10.1.110.254    10.1.254.1      1328     28 80000006            1
 Sum-Net   10.1.110.254    10.1.254.2      1055     28 80000006            2
 Sum-Net   10.1.120.0      10.1.254.1      1348     28 80000006            1
 Sum-Net   10.1.120.0      10.1.254.2      1174     28 80000006            1
 Sum-Net   10.1.120.254    10.1.254.1      1342     28 80000006            1
 Sum-Net   10.1.120.254    10.1.254.2      1250     28 80000006            2
 Sum-Net   10.1.200.24     10.1.254.3       757     28 80000007            1

Area: 0.0.0.1
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1      1116     96 8000000d            1
 Router    10.1.254.2      10.1.254.2      1087     96 8000000d            1
 Network   10.1.10.252     10.1.254.2       262     32 80000006            0
 Network   10.1.20.252     10.1.254.2      1173     32 80000006            0
 Network   10.1.30.252     10.1.254.2       315     32 80000006            0
 Network   10.1.40.252     10.1.254.2      1172     32 80000006            0
 Sum-Net   10.1.50.0       10.1.254.1       886     28 80000007            3
 Sum-Net   10.1.50.0       10.1.254.2      1040     28 80000007            3
 Sum-Net   10.1.60.0       10.1.254.1       960     28 80000007            3
 Sum-Net   10.1.60.0       10.1.254.2       894     28 80000007            3
 Sum-Net   10.1.110.0      10.1.254.1      1296     28 80000006            1
 Sum-Net   10.1.110.0      10.1.254.2      1350     28 80000006            1
 Sum-Net   10.1.110.254    10.1.254.1      1328     28 80000006            1
 Sum-Net   10.1.110.254    10.1.254.2       289     28 80000006            2
 Sum-Net   10.1.120.0      10.1.254.1      1146     28 80000006            1
 Sum-Net   10.1.120.0      10.1.254.2      1330     28 80000006            1
 Sum-Net   10.1.120.254    10.1.254.1      1204     28 80000006            1
 Sum-Net   10.1.120.254    10.1.254.2      1310     28 80000006            2
 Sum-Net   10.1.200.0      10.1.254.1      1137     28 80000006            1
 Sum-Net   10.1.200.0      10.1.254.2       926     28 80000007            2
 Sum-Net   10.1.200.4      10.1.254.1      1257     28 80000006            1
 Sum-Net   10.1.200.4      10.1.254.2      1002     28 80000007            3
 Sum-Net   10.1.200.8      10.1.254.1       856     28 80000007            2
 Sum-Net   10.1.200.8      10.1.254.2      1110     28 80000006            1
 Sum-Net   10.1.200.12     10.1.254.1       818     28 80000007            3
 Sum-Net   10.1.200.12     10.1.254.2      1145     28 80000006            1
 Sum-Net   10.1.200.16     10.1.254.1      1048     28 80000007            2
 Sum-Net   10.1.200.16     10.1.254.2       832     28 80000007            2
 Sum-Net   10.1.200.24     10.1.254.1       827     28 80000007            2
 Sum-Net   10.1.200.24     10.1.254.2       923     28 80000007            2
 Sum-Net   10.1.254.6      10.1.254.1      1086     28 80000007            3
 Sum-Net   10.1.254.6      10.1.254.2      1086     28 80000007            3
 Sum-Asbr  10.1.254.6      10.1.254.1       818     28 80000007            2
 Sum-Asbr  10.1.254.6      10.1.254.2      1057     28 80000007            2

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
