2026-06-16 07:35:36.230

	 OSPF Process 1 with Router ID 10.1.254.4
		 Link State Database

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         131  96    80000031       1
 Router    10.1.254.2      10.1.254.2        1599  72    80000029       1
 Router    10.1.254.1      10.1.254.1        1836  72    80000029       1
 Router    10.1.254.6      10.1.254.6         298  84    80000026       1
 Router    10.1.254.4      10.1.254.4         130  96    80000030    65500
 Sum-Net   10.1.200.28     10.1.254.4         130  28    80000029    65500
 Sum-Net   10.1.200.28     10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.200.24     10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.200.24     10.1.254.3         131  28    8000002A       1
 Sum-Net   10.1.10.0       10.1.254.1        1463  28    80000027       1
 Sum-Net   10.1.10.0       10.1.254.2        1434  28    80000027       1
 Sum-Net   10.1.10.254     10.1.254.1         207  28    80000028       1
 Sum-Net   10.1.10.254     10.1.254.2         150  28    80000028       2
 Sum-Net   10.1.20.0       10.1.254.1        1667  28    80000027       1
 Sum-Net   10.1.20.0       10.1.254.2        1560  28    80000027       1
 Sum-Net   10.1.20.254     10.1.254.1        1642  28    80000027       1
 Sum-Net   10.1.20.254     10.1.254.2         247  28    80000028       2
 Sum-Net   10.1.60.0       10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.60.0       10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.110.0      10.1.254.1        1402  28    80000027       1
 Sum-Net   10.1.110.0      10.1.254.2         414  28    80000028       1
 Sum-Net   10.1.110.254    10.1.254.1        1512  28    80000027       1
 Sum-Net   10.1.110.254    10.1.254.2          92  28    80000028       2
 Sum-Net   10.1.120.0      10.1.254.1        1545  28    80000027       1
 Sum-Net   10.1.120.0      10.1.254.2           8  28    80000028       1
 Sum-Net   10.1.120.254    10.1.254.1          77  28    80000028       1
 Sum-Net   10.1.120.254    10.1.254.2        1662  28    80000027       2
 Sum-Net   10.1.30.0       10.1.254.1        1567  28    80000027       1
 Sum-Net   10.1.30.0       10.1.254.2        1669  28    80000027       1
 Sum-Net   10.1.30.254     10.1.254.1         262  28    80000028       2
 Sum-Net   10.1.30.254     10.1.254.2        1141  28    80000027       1
 Sum-Net   10.1.50.0       10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.50.0       10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.40.0       10.1.254.1          80  28    80000028       1
 Sum-Net   10.1.40.0       10.1.254.2        1583  28    80000027       1
 Sum-Net   10.1.40.254     10.1.254.1         891  28    80000027       2
 Sum-Net   10.1.40.254     10.1.254.2         132  28    80000028       1

		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         131  48    8000002D       1
 Router    10.1.254.5      10.1.254.5         967  96    8000002A       1
 Router    10.1.254.4      10.1.254.4         130  48    8000002C    65500
 Sum-Net   10.1.254.6      10.1.254.3         131  28    80000028       2
 Sum-Net   10.1.254.6      10.1.254.4         130  28    80000028    65501
 Sum-Net   10.1.200.12     10.1.254.4         130  28    80000029    65500
 Sum-Net   10.1.200.12     10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.200.8      10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.200.8      10.1.254.3         131  28    8000002A       1
 Sum-Net   10.1.200.4      10.1.254.4         130  28    80000029    65500
 Sum-Net   10.1.200.4      10.1.254.3         131  28    8000002A       2
 Sum-Net   10.1.200.0      10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.200.0      10.1.254.3         131  28    8000002A       1
 Sum-Net   10.1.200.20     10.1.254.4         130  28    80000029    65500
 Sum-Net   10.1.200.20     10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.200.16     10.1.254.3         131  28    80000028       1
 Sum-Net   10.1.200.16     10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.10.0       10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.10.0       10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.10.254     10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.10.254     10.1.254.3         131  28    8000002A       2
 Sum-Net   10.1.20.0       10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.20.0       10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.20.254     10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.20.254     10.1.254.3         131  28    8000002A       2
 Sum-Net   10.1.110.0      10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.110.0      10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.110.254    10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.110.254    10.1.254.3         131  28    8000002A       2
 Sum-Net   10.1.120.0      10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.120.0      10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.120.254    10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.120.254    10.1.254.3         131  28    8000002A       2
 Sum-Net   10.1.30.0       10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.30.0       10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.30.254     10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.30.254     10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.40.0       10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.40.0       10.1.254.3         131  28    80000029       2
 Sum-Net   10.1.40.254     10.1.254.4         130  28    80000029    65501
 Sum-Net   10.1.40.254     10.1.254.3         131  28    80000029       2
 Sum-Asbr  10.1.254.6      10.1.254.3         131  28    80000028       1
 Sum-Asbr  10.1.254.6      10.1.254.4         130  28    80000028    65500


		 AS External Database
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 External  0.0.0.0         10.1.254.6         298  36    80000023       1
 External  10.3.10.0       10.1.254.6         298  36    80000023       1
 External  10.3.20.0       10.1.254.6         298  36    80000023       1
 External  10.3.30.0       10.1.254.6         298  36    80000023       1
 External  10.2.10.0       10.1.254.6         298  36    80000023       1
 External  10.2.20.0       10.1.254.6         298  36    80000023       1
 External  10.2.30.0       10.1.254.6         298  36    80000023       1
