display mac-address
MAC Address      VLAN ID    State            Port/Nickname            Aging
0000-5e00-0101   10         Learned          HGE1/0/1                 Y
3807-0011-1200   10         Learned          HGE1/0/1                 Y
3808-0011-1200   10         Learned          HGE1/0/2                 Y
3aac-c7ac-12ca   10         Learned          HGE1/0/3                 Y
a6c2-9100-744a   10         Learned          HGE1/0/5                 Y
0000-5e00-0105   110        Learned          HGE1/0/1                 Y
3807-0011-1200   110        Learned          HGE1/0/1                 Y
3808-0011-1200   110        Learned          HGE1/0/1                 Y
4a3a-1884-c01a   110        Learned          HGE1/0/4                 Y
0000-5e00-0106   120        Learned          HGE1/0/1                 Y
3807-0011-1200   120        Learned          HGE1/0/2                 Y
3808-0011-1200   120        Learned          HGE1/0/2                 Y
8a9f-4d57-5837   120        Learned          HGE1/0/4                 Y
