Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 37762
Current messages : 512

Jun 16 2026 06:32:38 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=1, Deleted=0, Dropped=0, Aged=0)
Jun 16 2026 06:32:34 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (Interface=GE1/0/4, Action=added, Added=1, Deleted=0, RemoteInterfaceName=HundredGigE1/0/1, RemoteDeviceManageAddress=7425-8ae3-f862)
Jun 16 2026 06:32:34 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=added, Interface=GE1/0/4, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-f862, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/1, RemoteSystemName=AGG_SW_02, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=7425-8ae3-f862)
Jun 16 2026 06:32:34 Core_SW_01 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 16 2026 06:32:34 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (Interface=GE1/0/4, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=HundredGigE1/0/1, RemoteDeviceManageAddress=7425-8ae3-f862)
Jun 16 2026 06:32:34 Core_SW_01 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/4, RemoteChassisType=macAddress, RemoteChassisId=7425-8ae3-f862, RemotePortIdType=interfaceName, RemotePortId=HundredGigE1/0/1, RemoteSystemName=AGG_SW_02, RemoteSystemDescription=H3C Comware Platform Software, Software Version 7.1.070, Release 7639P06  H3C V9850-256H  Copyright (c) 2004-2024 New H3C Technologies Co., Ltd. All rights reserved., RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=all802, RemoteManagementAddress=7425-8ae3-f862)
Jun 16 2026 06:32:23 Core_SW_01 %%01OSPF/3/NBR_DOWN_REASON(l):CID=0x80830457;Neighbor state left full or changed to Down. (ProcessId=1, NeighborRouterId=10.1.254.4, NeighborIp=10.1.200.5, NeighborAreaId=0.0.0.0, NeighborInterface=Vlanif202, NeighborDownImmediate reason=Neighbor Down Due to SequenceNum Mismatch, NeighborDownPrimeReason=I Bit Incorrect in DD, Interface interval 0, Packet interval 4, CpuUsage=17%, VpnName=_public_, IfMTU=1500, LocalIp=10.1.200.6,SystemInfo=Avai:483997928, Com:83110628, mlo:85260, cpu:17, pin:1266144108, pout:4294967295, kernelRat:9.71, NiceRate:0.20, IowaitRate:0.0, HardIrqRate:0.50, SoftIrqRate:0.94, StealstolenRate:0.0)
Jun 16 2026 06:32:23 Core_SW_01 %%01OSPF/2/ospfNbrStateChange_active(l):CID=0x80830457-alarmID=0x08900005;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.1, NbrIpAddress=10.1.200.5, NbrAddressLessIndex=0, NbrRtrId=10.1.254.4, NbrState=5, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=52, LocalIfIpAddress=10.1.200.6, IfName=Vlanif202, VpnName=_public_, Reason=Protocol reason, SubReason=I Bit Incorrect in DD)
Jun 16 2026 06:32:13 Core_SW_01 %%01MSTP/4/MSTPLOG_PROPORT_STATE_FORWARDING(l):CID=0x80547543;The MSTP process's port has been set to forwarding state. (ProcessID=0, InstanceID=0, PortID=43, IfIndex=55, PortName=Eth-Trunk3, PwName=-)
Jun 16 2026 06:32:13 Core_SW_01 %%01MSTP/4/PORT_STATE_FORWARDING(l):CID=0x80547543;The port has been set to forwarding state. (InstanceID=0, PortIndex=55, IfIndex=55, PortName=Eth-Trunk3, PwName=-)
Jun 16 2026 06:32:13 Core_SW_01 %%01MSTP/4/MSTPLOG_PROPORT_STATE_LEARNING(l):CID=0x80547543;The MSTP process's port has been set to learning state. (ProcessID=0, InstanceID=0, PortID=43, IfIndex=55, PortName=Eth-Trunk3, PwName=-)
