
OSPF Process 1 with Router ID 1.1.5.2
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    1.1.1.1         1.1.1.1         1600     84 80000011            1
 Router    1.1.1.2         1.1.1.2           48     84 80000012            1
 Router    1.1.2.1         1.1.2.1            3     60 80000010            1
 Router    1.1.2.2         1.1.2.2           13     60 80000010            1
 Router    1.1.5.1         1.1.5.1         1683     60 8000000f            1
 Router    1.1.5.2         1.1.5.2         1734     60 8000000f            1
 Network   192.168.1.2     1.1.5.1         1720     32 8000000d            0
 Network   192.168.1.5     1.1.1.1         1532     32 8000000d            0
 Network   192.168.1.10    1.1.5.1         1613     32 8000000d            0
 Network   192.168.1.13    1.1.1.2         1720     32 8000000d            0
 Network   192.168.2.1     1.1.1.1           86     32 8000000e            0
 Network   192.168.2.6     1.1.2.2          218     32 8000000e            0
 Network   192.168.2.9     1.1.1.2          125     32 8000000e            0
 Network   192.168.2.14    1.1.2.2         1644     32 8000000d            0
