
OSPF Process 1 with Router ID 2.1.2.1
Link State Database

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    2.1.1.1         2.1.1.1          983     84 8000002e            1
 Router    2.1.1.2         2.1.1.2         1359     84 8000002e            1
 Router    2.1.2.1         2.1.2.1         1010     60 8000002c            1
 Router    2.1.2.2         2.1.2.2          959     60 8000002c            1
 Router    2.1.5.1         2.1.5.1          747     84 8000002e            1
 Router    2.1.5.2         2.1.5.2          571     60 8000002c            1
 Network   182.158.1.2     2.1.5.1          713     32 8000002a            0
 Network   182.158.1.6     2.1.5.2          557     32 8000002a            0
 Network   182.158.1.9     2.1.1.2          841     32 8000002a            0
 Network   182.158.1.14    2.1.5.2         1286     32 8000002a            0
 Network   182.158.2.2     2.1.2.1         1349     32 8000002a            0
 Network   182.158.2.6     2.1.2.2          906     32 8000002a            0
 Network   182.158.2.10    2.1.2.1          699     32 8000002a            0
 Network   182.158.2.13    2.1.1.2         1304     32 8000002a            0
