
CPU utilization for five seconds: 0%/0%; one minute: 1%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1740     14083      0   0.00%   0.00%  0.00%   -    init
 1752          240      7627      0   0.00%   0.00%  0.00%   -    bfd
 1755          280      7297      0   0.00%   0.00%  0.00%   -    bfd_app
 1764           30        38      0   0.00%   0.00%  0.00%   S0    login
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         6020    145584      0   0.00%   0.01%  0.00%   -    sysmgr
 3936           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3937           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3938         7890     85918      0   0.00%   0.01%  0.01%   -    syslogd
 3939          100        21      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        58      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941         8360     73222      0   0.00%   0.01%  0.01%   -    platform
 3953           20       986      0   0.00%   0.00%  0.00%   -    klogd
 3957          360     10348      0   0.00%   0.00%  0.00%   -    vshd
 3960          500     22398      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           50      3348      0   0.00%   0.00%  0.00%   -    smm
 3962          530     21775      0   0.00%   0.00%  0.00%   -    session-mgr
 3963         1000     70588      0   0.00%   0.00%  0.00%   -    psshelper
 3964          560     21913      0   0.00%   0.00%  0.00%   -    pixm
 3965           70    295510      0   0.00%   0.01%  0.00%   -    pdsd
 3966           70      1218      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          450     14080      0   0.00%   0.00%  0.00%   -    licmgr
 3968          280      1198      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          300      6227      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        58      1   0.00%   0.00%  0.00%   -    confcheck
 3971          360     11422      0   0.00%   0.00%  0.00%   -    capability
 3972          990     70022      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3979          100      1179      0   0.00%   0.00%  0.00%   -    cisco
 3984         7590      9090      0   0.00%   0.00%  0.00%   -    clis
 3989          640      4894      0   0.00%   0.00%  0.00%   -    port-profile
 3996          580     23351      0   0.00%   0.00%  0.00%   -    xmlma
 3997          510     22179      0   0.00%   0.00%  0.00%   -    vmm
 3998          500      8800      0   0.00%   0.00%  0.00%   -    vman
 3999          590     22201      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          610     35011      0   0.00%   0.00%  0.00%   -    ttyd
 4001          190    130455      0   0.19%   0.19%  0.19%   -    sysinfo
 4002          940     69997      0   0.00%   0.00%  0.00%   -    sksd
 4004          210      1396      0   0.00%   0.00%  0.00%   -    res_mgr
 4005          980     70418      0   0.00%   0.00%  0.00%   -    plugin
 4006          140      2367      0   0.00%   0.00%  0.00%   -    patch-installer
 4007          280      7272      0   0.00%   0.00%  0.00%   -    mvsh
 4008           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 4009          560     22119      0   0.00%   0.00%  0.00%   -    module
 4012          230      7347      0   0.00%   0.00%  0.00%   -    evms
 4015          260      5316      0   0.00%   0.00%  0.00%   -    evmc
 4016          270      3524      0   0.00%   0.00%  0.00%   -    crdcfg_server
 4017          150        34      4   0.00%   0.00%  0.00%   -    core-dmon
 4018          520     22136      0   0.00%   0.00%  0.00%   -    cli_acl
