
OSPF Process 1 with Router ID 10.1.254.2
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       804     72 80000032            1
 Router    10.1.254.2      10.1.254.2       790     72 80000032            1
 Router    10.1.254.3      10.1.254.3       788     96 80000039            1
 Router    10.1.254.4      10.1.254.4       788     96 80000038        65500
 Router    10.1.254.6      10.1.254.6      1264     84 8000002d            1
 Sum-Net   10.1.10.0       10.1.254.1       703     28 80000030            1
 Sum-Net   10.1.10.0       10.1.254.2       732     28 80000030            1
 Sum-Net   10.1.10.254     10.1.254.1       894     28 80000031            2
 Sum-Net   10.1.10.254     10.1.254.2       866     28 80000031            1
 Sum-Net   10.1.20.0       10.1.254.1       657     28 80000030            1
 Sum-Net   10.1.20.0       10.1.254.2       648     28 80000030            1
 Sum-Net   10.1.20.254     10.1.254.1       851     28 80000030            2
 Sum-Net   10.1.20.254     10.1.254.2       708     28 80000031            1
 Sum-Net   10.1.30.0       10.1.254.1       684     28 80000030            1
 Sum-Net   10.1.30.0       10.1.254.2       845     28 80000030            1
 Sum-Net   10.1.30.254     10.1.254.1       292     28 80000031            1
 Sum-Net   10.1.30.254     10.1.254.2       365     28 80000030            2
 Sum-Net   10.1.40.0       10.1.254.1       923     28 80000030            1
 Sum-Net   10.1.40.0       10.1.254.2       653     28 80000030            1
 Sum-Net   10.1.40.254     10.1.254.1       452     28 80000030            1
 Sum-Net   10.1.40.254     10.1.254.2       266     28 80000031            2
 Sum-Net   10.1.50.0       10.1.254.3       788     28 80000031            2
 Sum-Net   10.1.50.0       10.1.254.4       788     28 80000031        65501
 Sum-Net   10.1.60.0       10.1.254.3       788     28 80000031            2
 Sum-Net   10.1.60.0       10.1.254.4       788     28 80000031        65501
 Sum-Net   10.1.110.0      10.1.254.1       513     28 80000030            1
 Sum-Net   10.1.110.0      10.1.254.2      1222     28 80000030            1
 Sum-Net   10.1.110.254    10.1.254.1       728     28 80000030            2
 Sum-Net   10.1.110.254    10.1.254.2       944     28 80000031            1
 Sum-Net   10.1.120.0      10.1.254.1       788     28 80000030            1
 Sum-Net   10.1.120.0      10.1.254.2       925     28 80000030            1
 Sum-Net   10.1.120.254    10.1.254.1       989     28 80000031            2
 Sum-Net   10.1.120.254    10.1.254.2       855     28 80000031            1
 Sum-Net   10.1.200.24     10.1.254.3       788     28 80000032            1
 Sum-Net   10.1.200.24     10.1.254.4       788     28 80000031        65501
 Sum-Net   10.1.200.28     10.1.254.3       788     28 80000031            2
 Sum-Net   10.1.200.28     10.1.254.4       788     28 80000031        65500

Area: 0.0.0.1
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       291     96 80000039            1
 Router    10.1.254.2      10.1.254.2       427     96 8000003c            1
 Network   10.1.10.252     10.1.254.2       618     32 80000030            0
 Network   10.1.20.252     10.1.254.2       769     32 80000030            0
 Network   10.1.30.252     10.1.254.2       603     32 80000030            0
 Network   10.1.40.252     10.1.254.2       366     32 80000030            0
 Sum-Net   10.1.50.0       10.1.254.1       576     28 80000031            3
 Sum-Net   10.1.50.0       10.1.254.2       959     28 80000031            3
 Sum-Net   10.1.60.0       10.1.254.1       761     28 80000031            3
 Sum-Net   10.1.60.0       10.1.254.2       485     28 80000031            3
 Sum-Net   10.1.110.0      10.1.254.1       781     28 80000030            1
 Sum-Net   10.1.110.0      10.1.254.2      1075     28 80000030            1
 Sum-Net   10.1.110.254    10.1.254.1       740     28 80000031            2
 Sum-Net   10.1.110.254    10.1.254.2       795     28 80000030            1
 Sum-Net   10.1.120.0      10.1.254.1       958     28 80000030            1
 Sum-Net   10.1.120.0      10.1.254.2       657     28 80000030            1
 Sum-Net   10.1.120.254    10.1.254.1       967     28 80000031            2
 Sum-Net   10.1.120.254    10.1.254.2       902     28 80000031            1
 Sum-Net   10.1.200.0      10.1.254.1      1003     28 80000030            1
 Sum-Net   10.1.200.0      10.1.254.2       816     28 80000034            2
 Sum-Net   10.1.200.4      10.1.254.1       880     28 80000030            1
 Sum-Net   10.1.200.4      10.1.254.2       737     28 80000034            3
 Sum-Net   10.1.200.8      10.1.254.1       210     28 80000034            2
 Sum-Net   10.1.200.8      10.1.254.2       873     28 80000030            1
 Sum-Net   10.1.200.12     10.1.254.1      1087     28 80000034            3
 Sum-Net   10.1.200.12     10.1.254.2      1144     28 80000030            1
 Sum-Net   10.1.200.16     10.1.254.1       173     28 80000032            2
 Sum-Net   10.1.200.16     10.1.254.2       779     28 80000032            2
 Sum-Net   10.1.200.20     10.1.254.1       325     28 80000032            3
 Sum-Net   10.1.200.20     10.1.254.2       349     28 80000032            3
 Sum-Net   10.1.200.24     10.1.254.1       701     28 80000034            2
 Sum-Net   10.1.200.24     10.1.254.2       779     28 80000034            2
 Sum-Net   10.1.200.28     10.1.254.1       823     28 80000033            3
 Sum-Net   10.1.200.28     10.1.254.2       405     28 80000033            3
 Sum-Net   10.1.254.6      10.1.254.1       332     28 80000031            3
 Sum-Net   10.1.254.6      10.1.254.2       641     28 80000031            3
 Sum-Asbr  10.1.254.6      10.1.254.1      1337     28 80000031            2
 Sum-Asbr  10.1.254.6      10.1.254.2       537     28 80000031            2

Area: 0.0.0.2
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       918     48 80000036            1
 Router    10.1.254.2      10.1.254.2       829     72 80000036            1
 Network   10.1.110.252    10.1.254.2       875     32 80000030            0
 Network   10.1.120.252    10.1.254.2       478     32 80000030            0
 Sum-Net   10.1.10.0       10.1.254.1       595     28 80000030            1
 Sum-Net   10.1.10.0       10.1.254.2       765     28 80000030            1
 Sum-Net   10.1.10.254     10.1.254.1       827     28 80000032            2
 Sum-Net   10.1.10.254     10.1.254.2       766     28 80000031            1
 Sum-Net   10.1.20.0       10.1.254.1       778     28 80000030            1
 Sum-Net   10.1.20.0       10.1.254.2      1255     28 80000030            1
 Sum-Net   10.1.20.254     10.1.254.1       925     28 80000032            2
 Sum-Net   10.1.20.254     10.1.254.2       964     28 80000031            1
 Sum-Net   10.1.30.0       10.1.254.1       812     28 80000030            1
 Sum-Net   10.1.30.0       10.1.254.2       187     28 80000030            1
 Sum-Net   10.1.30.254     10.1.254.1       444     28 80000031            1
 Sum-Net   10.1.30.254     10.1.254.2       450     28 80000032            2
 Sum-Net   10.1.40.0       10.1.254.1      1160     28 80000030            1
 Sum-Net   10.1.40.0       10.1.254.2       411     28 80000030            1
 Sum-Net   10.1.40.254     10.1.254.1       488     28 80000031            1
 Sum-Net   10.1.40.254     10.1.254.2       445     28 80000032            2
 Sum-Net   10.1.50.0       10.1.254.1      1026     28 80000031            3
 Sum-Net   10.1.50.0       10.1.254.2       262     28 80000031            3
 Sum-Net   10.1.60.0       10.1.254.1      1177     28 80000031            3
 Sum-Net   10.1.60.0       10.1.254.2       922     28 80000031            3
 Sum-Net   10.1.200.0      10.1.254.1       798     28 80000030            1
 Sum-Net   10.1.200.0      10.1.254.2       996     28 80000034            2
 Sum-Net   10.1.200.4      10.1.254.1       831     28 80000030            1
 Sum-Net   10.1.200.4      10.1.254.2       787     28 80000034            3
 Sum-Net   10.1.200.8      10.1.254.1       362     28 80000034            2
 Sum-Net   10.1.200.8      10.1.254.2       970     28 80000030            1
 Sum-Net   10.1.200.12     10.1.254.1       271     28 80000034            3
 Sum-Net   10.1.200.12     10.1.254.2       620     28 80000030            1
 Sum-Net   10.1.200.16     10.1.254.1      1022     28 80000032            2
 Sum-Net   10.1.200.16     10.1.254.2       697     28 80000032            2
 Sum-Net   10.1.200.20     10.1.254.1       578     28 80000032            3
 Sum-Net   10.1.200.20     10.1.254.2       391     28 80000032            3
 Sum-Net   10.1.200.24     10.1.254.1       529     28 80000034            2
 Sum-Net   10.1.200.24     10.1.254.2       854     28 80000034            2
 Sum-Net   10.1.200.28     10.1.254.1        21     28 80000033            3
 Sum-Net   10.1.200.28     10.1.254.2       457     28 80000033            3
 Sum-Net   10.1.254.6      10.1.254.1      1063     28 80000031            3
 Sum-Net   10.1.254.6      10.1.254.2       429     28 80000031            3
 Sum-Asbr  10.1.254.6      10.1.254.1       101     28 80000031            2
 Sum-Asbr  10.1.254.6      10.1.254.2       849     28 80000031            2

AS External Database
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 External  0.0.0.0         10.1.254.6      1264     36 8000002a            1
