display mac-address
MAC Address      VLAN ID    State            Port/Nickname            Aging
0000-5e00-0102   20         Learned          HGE1/0/1                 Y
3807-0011-1200   20         Learned          HGE1/0/1                 Y
3808-0011-1200   20         Learned          HGE1/0/2                 Y
6249-3ebe-89df   20         Learned          HGE1/0/3                 Y
0000-5e00-0105   110        Learned          HGE1/0/1                 Y
3807-0011-1200   110        Learned          HGE1/0/1                 Y
3808-0011-1200   110        Learned          HGE1/0/1                 Y
0000-5e00-0106   120        Learned          HGE1/0/1                 Y
3807-0011-1200   120        Learned          HGE1/0/1                 Y
3808-0011-1200   120        Learned          HGE1/0/2                 Y
