2026-06-16 06:53:44.390
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.4%  Max:  53.0%
CPU utilization for ten seconds:   4.4% : one minute:   4.5% : five minutes:   4.5%

PID   ProcessName         CPU       Runtime     State
1890  fpath.out           2.9%      367832      S
1634  vrp                 1.0%      142404      S
1651  vrpio_s             0.2%      33714       S
1906  nge.out             0.0%      25009       S
1891  nlog.out            0.0%      4774        S
1900  am.out              0.0%      4493        S
1899  ike.out             0.0%      2346        S
1892  slb_proxy.out       0.0%      11278       S
1904  restful.out         0.0%      4634        S
1902  auth.out            0.0%      2919        S
1666  procmgmt.out        0.0%      2093        S
1897  mail_send.out       0.0%      903         S
1894  svn.out             0.0%      676         S
1909  hc_https_client.out  0.0%      464         S
1907  netopeer-server.out  0.0%      217         S
1905  disk_smart.out      0.0%      106         S
1901  umdb.out            0.0%      90          S
1908  svnupgrade.out      0.0%      82          S
1898  tcpproxy.out        0.0%      3           S
1893  mail_proxy.out      0.0%      2           S
1895  rbl.out             0.0%      1           S
1896  aapt.out            0.0%      1           S
1954  sshd.out            0.0%      1           S
