2026-06-16 06:53:47.400

	 OSPF Process 1 with Router ID 10.1.254.3
		 Link State Database

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1222  96    8000002F       1
 Router    10.1.254.2      10.1.254.2         845  72    80000028       1
 Router    10.1.254.1      10.1.254.1        1091  72    80000028       1
 Router    10.1.254.6      10.1.254.6        1773  84    80000024       1
 Router    10.1.254.4      10.1.254.4        1225  96    8000002E    65500
 Sum-Net   10.1.200.28     10.1.254.4        1225  28    80000027    65500
 Sum-Net   10.1.200.28     10.1.254.3        1222  28    80000027       2
 Sum-Net   10.1.200.24     10.1.254.3        1222  28    80000028       1
 Sum-Net   10.1.200.24     10.1.254.4        1225  28    80000027    65501
 Sum-Net   10.1.10.0       10.1.254.1         675  28    80000026       1
 Sum-Net   10.1.10.0       10.1.254.2         655  28    80000026       1
 Sum-Net   10.1.10.254     10.1.254.1        1182  28    80000026       1
 Sum-Net   10.1.10.254     10.1.254.2        1202  28    80000026       2
 Sum-Net   10.1.20.0       10.1.254.1         956  28    80000026       1
 Sum-Net   10.1.20.0       10.1.254.2         787  28    80000026       1
 Sum-Net   10.1.20.254     10.1.254.1         905  28    80000026       1
 Sum-Net   10.1.20.254     10.1.254.2        1256  28    80000026       2
 Sum-Net   10.1.60.0       10.1.254.4        1225  28    80000027    65501
 Sum-Net   10.1.60.0       10.1.254.3        1222  28    80000027       2
 Sum-Net   10.1.110.0      10.1.254.1         699  28    80000026       1
 Sum-Net   10.1.110.0      10.1.254.2        1373  28    80000026       1
 Sum-Net   10.1.110.254    10.1.254.1         817  28    80000026       1
 Sum-Net   10.1.110.254    10.1.254.2        1135  28    80000026       2
 Sum-Net   10.1.120.0      10.1.254.1         802  28    80000026       1
 Sum-Net   10.1.120.0      10.1.254.2         970  28    80000026       1
 Sum-Net   10.1.120.254    10.1.254.1        1082  28    80000026       1
 Sum-Net   10.1.120.254    10.1.254.2         913  28    80000026       2
 Sum-Net   10.1.30.0       10.1.254.1         832  28    80000026       1
 Sum-Net   10.1.30.0       10.1.254.2         946  28    80000026       1
 Sum-Net   10.1.30.254     10.1.254.1        1301  28    80000026       2
 Sum-Net   10.1.30.254     10.1.254.2         415  28    80000026       1
 Sum-Net   10.1.50.0       10.1.254.4        1225  28    80000027    65501
 Sum-Net   10.1.50.0       10.1.254.3        1222  28    80000027       2
 Sum-Net   10.1.40.0       10.1.254.1        1040  28    80000026       1
 Sum-Net   10.1.40.0       10.1.254.2         867  28    80000026       1
 Sum-Net   10.1.40.254     10.1.254.1         175  28    80000026       2
 Sum-Net   10.1.40.254     10.1.254.2        1129  28    80000026       1

		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1222  48    8000002B       1
 Router    10.1.254.5      10.1.254.5         249  96    80000029       1
 Router    10.1.254.4      10.1.254.4        1225  48    8000002A    65500
 Sum-Net   10.1.254.6      10.1.254.3        1222  28    80000026       2
 Sum-Net   10.1.254.6      10.1.254.4        1225  28    80000026    65501
 Sum-Net   10.1.200.12     10.1.254.4        1225  28    80000027    65500
