2026-06-16 10:59:21.290
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.5%  Max:  52.6%
CPU utilization for ten seconds:   4.5% : one minute:   4.4% : five minutes:   4.4%

PID   ProcessName         CPU       Runtime     State
1901  fpath.out           2.8%      442396      S
1634  vrp                 1.0%      174582      S
1651  vrpio_s             0.2%      40981       S
1903  slb_proxy.out       0.1%      13881       S
1917  nge.out             0.0%      24269       S
1915  restful.out         0.0%      5749        S
1911  am.out              0.0%      4193        S
1913  auth.out            0.0%      3114        S
1666  procmgmt.out        0.0%      2550        S
1902  nlog.out            0.0%      6077        S
1910  ike.out             0.0%      2688        S
1908  mail_send.out       0.0%      954         S
1905  svn.out             0.0%      887         S
1920  hc_https_client.out  0.0%      496         S
1918  netopeer-server.out  0.0%      235         S
1916  disk_smart.out      0.0%      128         S
1912  umdb.out            0.0%      89          S
1919  svnupgrade.out      0.0%      85          S
1907  aapt.out            0.0%      3           S
1904  mail_proxy.out      0.0%      1           S
1906  rbl.out             0.0%      1           S
1909  tcpproxy.out        0.0%      1           S
2074  sshd.out            0.0%      1           S
