
CPU utilization for five seconds: 1%/0%; one minute: 1%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1820     17094      0   0.00%   0.00%  0.00%   -    init
 1752          330     12332      0   0.00%   0.00%  0.00%   -    bfd
 1755          390     11769      0   0.00%   0.00%  0.00%   -    bfd_app
 1764           30        38      0   0.00%   0.00%  0.00%   S0    login
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         7310    177004      0   0.00%   0.00%  0.00%   -    sysmgr
 3936           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3937           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3938         9590    104031      0   0.00%   0.01%  0.01%   -    syslogd
 3939          100        21      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        58      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941        10030     88944      0   0.00%   0.00%  0.01%   -    platform
 3953           20       986      0   0.00%   0.00%  0.00%   -    klogd
 3957          420     12296      0   0.00%   0.00%  0.00%   -    vshd
 3960          590     27189      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           50      3902      0   0.00%   0.00%  0.00%   -    smm
 3962          610     26585      0   0.00%   0.00%  0.00%   -    session-mgr
 3963         1170     85641      0   0.00%   0.00%  0.00%   -    psshelper
 3964          650     26648      0   0.00%   0.00%  0.00%   -    pixm
 3965           70    359292      0   0.00%   0.00%  0.00%   -    pdsd
 3966           80      1469      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          520     17097      0   0.00%   0.00%  0.00%   -    licmgr
 3968          310      1451      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          330      7542      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        60      1   0.00%   0.00%  0.00%   -    confcheck
 3971          410     13849      0   0.00%   0.00%  0.00%   -    capability
 3972         1170     85074      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3979          120      1430      0   0.00%   0.00%  0.00%   -    cisco
 3984         7650     10225      0   0.00%   0.00%  0.00%   -    clis
 3989          670      6035      0   0.00%   0.00%  0.00%   -    port-profile
 3996          670     28368      0   0.00%   0.00%  0.00%   -    xmlma
