2026-06-04 08:19:11.510 
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.5%  Max:  68.4% 
CPU utilization for ten seconds:   4.5% : one minute:   4.4% : five minutes:   4.4% 

PID   ProcessName         CPU       Runtime     State
1901  fpath.out           2.9%      126043      S
1634  vrp                 1.0%      50212       S
1651  vrpio_s             0.2%      10890       S
1910  ike.out             0.1%      1456        S
1917  nge.out             0.0%      21092       S
1903  slb_proxy.out       0.0%      3576        S
1911  am.out              0.0%      1349        S
1920  hc_https_client.out  0.0%      158         S
1915  restful.out         0.0%      1799        S
1902  nlog.out            0.0%      1492        S
1913  auth.out            0.0%      1056        S
1666  procmgmt.out        0.0%      699         S
1908  mail_send.out       0.0%      326         S
1905  svn.out             0.0%      229         S
1918  netopeer-server.out  0.0%      75          S
1916  disk_smart.out      0.0%      36          S
1912  umdb.out            0.0%      31          S
1919  svnupgrade.out      0.0%      29          S
1904  mail_proxy.out      0.0%      3           S
1906  rbl.out             0.0%      1           S
1907  aapt.out            0.0%      1           S
1909  tcpproxy.out        0.0%      1           S
2081  sshd.out            0.0%      1           S
