
CPU utilization for five seconds: 0%/0%; one minute: 1%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1730     13590      0   0.00%   0.00%  0.00%   -    init
 1752          230      6878      0   0.00%   0.00%  0.00%   -    bfd
 1755          260      6576      0   0.00%   0.00%  0.00%   -    bfd_app
 1764           30        38      0   0.00%   0.00%  0.00%   S0    login
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         5810    140309      0   0.00%   0.00%  0.00%   -    sysmgr
 3936           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3937           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3938         7610     82950      0   0.00%   0.01%  0.01%   -    syslogd
 3939          100        21      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        58      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941         8060     70639      0   0.00%   0.00%  0.01%   -    platform
 3953           20       986      0   0.00%   0.00%  0.00%   -    klogd
 3957          350     10008      0   0.00%   0.00%  0.00%   -    vshd
 3960          490     21640      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           50      3257      0   0.00%   0.00%  0.00%   -    smm
 3962          510     20985      0   0.00%   0.00%  0.00%   -    session-mgr
 3963          970     68124      0   0.00%   0.00%  0.00%   -    psshelper
 3964          540     21109      0   0.00%   0.00%  0.00%   -    pixm
 3965           70    284993      0   0.00%   0.00%  0.00%   -    pdsd
 3966           60      1177      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          430     13585      0   0.00%   0.00%  0.00%   -    licmgr
 3968          280      1155      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          300      5992      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        57      1   0.00%   0.00%  0.00%   -    confcheck
 3971          350     11034      0   0.00%   0.00%  0.00%   -    capability
 3972          960     67558      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3979           90      1138      0   0.00%   0.00%  0.00%   -    cisco
 3984         7580      8873      0   0.00%   0.00%  0.00%   -    clis
 3989          630      4597      0   0.00%   0.00%  0.00%   -    port-profile
 3996          570     22528      0   0.00%   0.00%  0.00%   -    xmlma
 3997          500     21387      0   0.00%   0.00%  0.00%   -    vmm
 3998          490      8491      0   0.00%   0.00%  0.00%   -    vman
 3999          570     21412      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          600     33779      0   0.00%   0.00%  0.00%   -    ttyd
 4001          180    125605      0   0.00%   0.17%  0.18%   -    sysinfo
 4002          910     67533      0   0.00%   0.00%  0.00%   -    sksd
 4004          200      1349      0   0.00%   0.00%  0.00%   -    res_mgr
 4005          950     67940      0   0.00%   0.00%  0.00%   -    plugin
 4006          140      2282      0   0.00%   0.00%  0.00%   -    patch-installer
 4007          280      7011      0   0.00%   0.00%  0.00%   -    mvsh
 4008           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 4009          550     21346      0   0.00%   0.00%  0.00%   -    module
 4012          220      7078      0   0.00%   0.00%  0.00%   -    evms
 4015          260      5144      0   0.00%   0.00%  0.00%   -    evmc
 4016          270      3401      0   0.00%   0.00%  0.00%   -    crdcfg_server
 4017          150        34      4   0.00%   0.00%  0.00%   -    core-dmon
 4018          510     21338      0   0.00%   0.00%  0.00%   -    cli_acl
 4020          520      8511      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4021         1220     67596      0   0.00%   0.00%  0.00%   -    securityd
 4022          910     67533      0   0.00%   0.00%  0.00%   -    cert_enroll
 4023         1080     68972      0   0.00%   0.00%  0.00%   -    aaa
 4025            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 4026           70      4515      0   0.00%   0.00%  0.00%   -    l3vm
 4028           80     71699      0   0.00%   0.00%  0.00%   -    urib
 4034          990      1766      0   0.00%   0.00%  0.00%   -    aclmgr
 4037        79790   3574667      0   0.00%   0.11%  0.11%   -    ori_fwd
 4040        88340     69227      1   0.00%   0.11%  0.12%   -    port_client
 4044        30520     23856      1   0.00%   0.00%  0.00%   -    statsclient
 4045          440     21309      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4047         3740    739155      0   0.00%   0.03%  0.03%   -    snmpd
 4054          120      3679      0   0.00%   0.00%  0.00%   -    npacl
 4060           80   5383884      0   0.00%   0.06%  0.05%   -    adjmgr
 4062           70     15500      0   0.00%   0.00%  0.00%   -    u6rib
 4070          160        33      4   0.00%   0.00%  0.00%   -    ExceptionLog
 4072         1840     34132      0   0.00%   0.00%  0.00%   -    bootvar
 4076          540     11082      0   0.00%   0.00%  0.00%   -    ifmgr
 4079          320     11227      0   0.00%   0.00%  0.00%   -    tcap
 4083         1380     72183      0   0.00%   0.00%  0.00%   -    callhome
 4104          160     73437      0   0.00%   0.00%  0.00%   -    arp
 4109           70      4439      0   0.00%   0.00%  0.00%   -    icmpv6
 4131          130    467019      0   0.19%   0.04%  0.03%   -    l2fwd
 4132          100    391325      0   0.00%   0.02%  0.02%   -    pktmgr
 4159          150    979783      0   0.00%   0.04%  0.04%   -    netstack
 4198         1650     67575      0   0.00%   0.00%  0.00%   -    radius
 4201          850     21432      0   0.00%   0.00%  0.00%   -    cdp
 4204          650     22951      0   0.00%   0.00%  0.00%   -    cfs
 4209           10         7      1   0.00%   0.00%  0.00%   -    ip_dummy
 4210           10         7      1   0.00%   0.00%  0.00%   -    ipv6_dummy
 4211          370      4250      0   0.00%   0.00%  0.00%   -    ntp
 4214          480     21881      0   0.00%   0.00%  0.00%   -    otm
 4215           10         6      1   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4223           50        31      1   0.00%   0.00%  0.00%   -    dcos-xinetd
 4251         2740    134530      0   0.00%   0.00%  0.00%   -    ntpd
 4969         9230     10174      0   0.00%   0.00%  0.00%   -    vlan_mgr
 4973          110     27867      0   0.00%   0.00%  0.00%   -    rpm
 4977          780     23276      0   0.00%   0.00%  0.00%   -    pltfm_config
 4979          480     21304      0   0.00%   0.00%  0.00%   -    plsm
 4980          500     20784      0   0.00%   0.00%  0.00%   -    plcmgr
 4983          500     21268      0   0.00%   0.00%  0.00%   -    pixmc
 4984         3230      9238      0   0.00%   0.00%  0.00%   -    pfstat
 4990         9660    321334      0   0.00%   0.01%  0.01%   -    mtm
 4996          550     21258      0   0.00%   0.00%  0.00%   -    lim
 5001          990     25586      0   0.00%   0.00%  0.00%   -    l2sfe
 5002         2690     72751      0   0.19%   0.02%  0.01%   -    l2rib
 5005          480     21291      0   0.00%   0.00%  0.00%   -    l2fm_ut
 5008          110      5182      0   0.00%   0.00%  0.00%   -    igmp
 5013          500     10877      0   0.00%   0.00%  0.00%   -    eth_port_channel
 5014          280      7533      0   0.00%   0.00%  0.00%   -    eltm
 5019         1060     22180      0   0.00%   0.00%  0.00%   -    elo_io
 5022           90   6799129      0   0.00%   0.07%  0.07%   -    ecp
 5025          100        36      2   0.00%   0.00%  0.00%   -    dftm
 5031         1920     63656      0   0.00%   0.00%  0.00%   -    bfdc
 5036          180      3610      0   0.00%   0.00%  0.00%   -    adbm
 5042          420     11283      0   0.00%   0.00%  0.00%   -    l2fm
 5094         1170     24953      0   0.00%   0.00%  0.00%   -    ethpm
 5132        10230    369445      0   0.00%   0.01%  0.01%   -    stp
 5521         1010      1935      0   0.00%   0.00%  0.00%   -    copp
 5907          290     10934      0   0.00%   0.00%  0.00%   -    u2
 5908          170      1594      0   0.00%   0.00%  0.00%   -    spm
 5909          490     21159      0   0.00%   0.00%  0.00%   -    sal
 5910          130    176861      0   0.00%   0.00%  0.01%   -    mrib
 5911          530     10995      0   0.00%   0.00%  0.00%   -    mfdm
 5912          490     20955      0   0.00%   0.00%  0.00%   -    mcm
 5913          120    238093      0   0.00%   0.01%  0.01%   -    m6rib
 5914        11360     83014      0   0.00%   0.01%  0.01%   -    l2pt
 5917          700     21377      0   0.00%   0.00%  0.00%   -    ufdm
 5920          210      4875      0   0.00%   0.00%  0.00%   -    m2rib
 5921          110      3518      0   0.00%   0.00%  0.00%   -    mcastfwd
 6037         3870     61034      0   0.00%   0.00%  0.00%   -    gettylogin1
 6041           10         5      2   0.00%   0.00%  0.00%   -    sh
 6049           20        43      0   0.00%   0.00%  0.00%   -    libvirtd
 8635          230      5042      0   0.00%   0.00%  0.00%   -    interface-vlan
 8637         2070     16742      0   0.00%   0.00%  0.00%   -    lldp
25306          390      3780      0   0.00%   0.00%  0.00%   S0    vsh
29747            0         2      0   0.00%   0.00%  0.00%   S1    getty
