2026-06-16 10:58:38.250

	 OSPF Process 1 with Router ID 10.1.254.3
		 Link State Database

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1513  96    80000037       1
 Router    10.1.254.2      10.1.254.2        1472  72    80000030       1
 Router    10.1.254.1      10.1.254.1        1551  72    80000030       1
 Router    10.1.254.6      10.1.254.6         386  84    8000002C       1
 Router    10.1.254.4      10.1.254.4        1515  96    80000036    65500
 Sum-Net   10.1.200.28     10.1.254.4        1515  28    8000002F    65500
 Sum-Net   10.1.200.28     10.1.254.3        1513  28    8000002F       2
 Sum-Net   10.1.200.24     10.1.254.3        1513  28    80000030       1
 Sum-Net   10.1.200.24     10.1.254.4        1515  28    8000002F    65501
 Sum-Net   10.1.10.0       10.1.254.1        1324  28    8000002E       1
 Sum-Net   10.1.10.0       10.1.254.2        1277  28    8000002E       1
 Sum-Net   10.1.10.254     10.1.254.1        1523  28    8000002F       2
 Sum-Net   10.1.10.254     10.1.254.2        1458  28    8000002F       1
 Sum-Net   10.1.20.0       10.1.254.1        1458  28    8000002E       1
 Sum-Net   10.1.20.0       10.1.254.2        1246  28    8000002E       1
 Sum-Net   10.1.20.254     10.1.254.1        1584  28    8000002E       2
 Sum-Net   10.1.20.254     10.1.254.2        1436  28    8000002F       1
 Sum-Net   10.1.60.0       10.1.254.4        1515  28    8000002F    65501
 Sum-Net   10.1.60.0       10.1.254.3        1513  28    8000002F       2
 Sum-Net   10.1.110.0      10.1.254.1        1141  28    8000002E       1
 Sum-Net   10.1.110.0      10.1.254.2         100  28    8000002F       1
 Sum-Net   10.1.110.254    10.1.254.1        1504  28    8000002E       2
 Sum-Net   10.1.110.254    10.1.254.2        1592  28    8000002F       1
 Sum-Net   10.1.120.0      10.1.254.1        1391  28    8000002E       1
 Sum-Net   10.1.120.0      10.1.254.2        1610  28    8000002E       1
 Sum-Net   10.1.120.254    10.1.254.1        1658  28    8000002F       2
 Sum-Net   10.1.120.254    10.1.254.2        1536  28    8000002F       1
 Sum-Net   10.1.30.0       10.1.254.1        1482  28    8000002E       1
 Sum-Net   10.1.30.0       10.1.254.2        1478  28    8000002E       1
 Sum-Net   10.1.30.254     10.1.254.1        1003  28    8000002F       1
 Sum-Net   10.1.30.254     10.1.254.2        1009  28    8000002E       2
 Sum-Net   10.1.50.0       10.1.254.4        1515  28    8000002F    65501
 Sum-Net   10.1.50.0       10.1.254.3        1513  28    8000002F       2
 Sum-Net   10.1.40.0       10.1.254.1        1502  28    8000002E       1
 Sum-Net   10.1.40.0       10.1.254.2        1306  28    8000002E       1
 Sum-Net   10.1.40.254     10.1.254.1        1099  28    8000002E       1
 Sum-Net   10.1.40.254     10.1.254.2        1082  28    8000002F       2

		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1513  48    80000033       1
 Router    10.1.254.5      10.1.254.5         964  96    80000031       1
 Router    10.1.254.4      10.1.254.4        1515  48    80000032    65500
 Sum-Net   10.1.254.6      10.1.254.3        1513  28    8000002E       2
 Sum-Net   10.1.254.6      10.1.254.4        1515  28    8000002E    65501
 Sum-Net   10.1.200.12     10.1.254.4        1515  28    8000002F    65500
 Sum-Net   10.1.200.12     10.1.254.3        1513  28    8000002F       2
 Sum-Net   10.1.200.8      10.1.254.3        1513  28    80000030       1
 Sum-Net   10.1.200.8      10.1.254.4        1515  28    8000002F    65501
 Sum-Net   10.1.200.4      10.1.254.4        1515  28    8000002F    65500
 Sum-Net   10.1.200.4      10.1.254.3        1513  28    80000030       2
 Sum-Net   10.1.200.0      10.1.254.3        1513  28    80000030       1
 Sum-Net   10.1.200.0      10.1.254.4        1515  28    8000002F    65501
 Sum-Net   10.1.200.20     10.1.254.4        1515  28    8000002F    65500
 Sum-Net   10.1.200.20     10.1.254.3        1513  28    8000002F       2
 Sum-Net   10.1.200.16     10.1.254.3        1513  28    8000002E       1
