2026-06-02 15:27:54.910 

	 OSPF Process 1 with Router ID 10.1.254.3
		 Link State Database 

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         745  96    8000000C       1
 Router    10.1.254.2      10.1.254.2        1122  60    80000008       1
 Router    10.1.254.1      10.1.254.1         753  60    80000008       1
 Router    10.1.254.6      10.1.254.6        1878  60    80000007       1
 Sum-Net   10.1.200.24     10.1.254.3         745  28    80000007       1
 Sum-Net   10.1.10.0       10.1.254.1        1250  28    80000006       1
 Sum-Net   10.1.10.0       10.1.254.2        1072  28    80000006       1
 Sum-Net   10.1.10.254     10.1.254.1        1194  28    80000006       1
 Sum-Net   10.1.10.254     10.1.254.2        1177  28    80000006       2
 Sum-Net   10.1.20.0       10.1.254.1        1270  28    80000006       1
 Sum-Net   10.1.20.0       10.1.254.2        1353  28    80000006       1
 Sum-Net   10.1.20.254     10.1.254.1        1139  28    80000006       1
 Sum-Net   10.1.20.254     10.1.254.2        1116  28    80000006       2
 Sum-Net   10.1.60.0       10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.110.0      10.1.254.1        1015  28    80000006       1
 Sum-Net   10.1.110.0      10.1.254.2        1118  28    80000006       1
 Sum-Net   10.1.110.254    10.1.254.1        1317  28    80000006       1
 Sum-Net   10.1.110.254    10.1.254.2        1043  28    80000006       2
 Sum-Net   10.1.120.0      10.1.254.1        1337  28    80000006       1
 Sum-Net   10.1.120.0      10.1.254.2        1161  28    80000006       1
 Sum-Net   10.1.120.254    10.1.254.1        1331  28    80000006       1
 Sum-Net   10.1.120.254    10.1.254.2        1238  28    80000006       2
 Sum-Net   10.1.30.0       10.1.254.1        1232  28    80000006       1
 Sum-Net   10.1.30.0       10.1.254.2        1213  28    80000006       1
 Sum-Net   10.1.30.254     10.1.254.1        1070  28    80000006       2
 Sum-Net   10.1.30.254     10.1.254.2        1199  28    80000006       1
 Sum-Net   10.1.50.0       10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.40.0       10.1.254.1        1037  28    80000006       1
 Sum-Net   10.1.40.0       10.1.254.2        1215  28    80000006       1
 Sum-Net   10.1.40.254     10.1.254.1        1049  28    80000006       2
 Sum-Net   10.1.40.254     10.1.254.2        1260  28    80000006       1
 
		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         745  48    80000008       1
 Router    10.1.254.5      10.1.254.5        1262  72    80000007       1
 Sum-Net   10.1.254.6      10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.200.12     10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.200.8      10.1.254.3         745  28    80000007       1
 Sum-Net   10.1.200.4      10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.200.0      10.1.254.3         745  28    80000007       1
 Sum-Net   10.1.200.16     10.1.254.3         745  28    80000007       1
 Sum-Net   10.1.10.0       10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.10.254     10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.20.0       10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.20.254     10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.110.0      10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.110.254    10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.120.0      10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.120.254    10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.30.0       10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.30.254     10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.40.0       10.1.254.3         745  28    80000007       2
 Sum-Net   10.1.40.254     10.1.254.3         745  28    80000007       2
 Sum-Asbr  10.1.254.6      10.1.254.3         745  28    80000007       1
 

		 AS External Database
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 External  0.0.0.0         10.1.254.6        1878  36    80000006       1
 External  10.3.10.0       10.1.254.6        1878  36    80000006       1
 External  10.3.20.0       10.1.254.6        1878  36    80000006       1
 External  10.3.30.0       10.1.254.6        1878  36    80000006       1
 External  10.2.10.0       10.1.254.6        1878  36    80000006       1
 External  10.2.20.0       10.1.254.6        1878  36    80000006       1
 External  10.2.30.0       10.1.254.6        1878  36    80000006       1
 
