
CPU utilization for five seconds: 0%/0%; one minute: 1%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1800     16531      0   0.00%   0.00%  0.00%   -    init
 1752          320     11473      0   0.00%   0.00%  0.00%   -    bfd
 1755          370     10906      0   0.00%   0.00%  0.00%   -    bfd_app
 1764           30        38      0   0.00%   0.00%  0.00%   S0    login
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         7100    171009      0   0.00%   0.01%  0.00%   -    sysmgr
 3936           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 3937           10         4      2   0.00%   0.00%  0.00%   -    tftpd
 3938         9270    100635      0   0.00%   0.00%  0.01%   -    syslogd
 3939          100        21      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        58      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941         9710     85989      0   0.00%   0.00%  0.00%   -    platform
 3953           20       986      0   0.00%   0.00%  0.00%   -    klogd
 3957          410     11912      0   0.00%   0.00%  0.00%   -    vshd
 3960          570     26306      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           50      3797      0   0.00%   0.00%  0.00%   -    smm
 3962          590     25699      0   0.00%   0.00%  0.00%   -    session-mgr
 3963         1130     82823      0   0.00%   0.00%  0.00%   -    psshelper
 3964          640     25777      0   0.00%   0.01%  0.00%   -    pixm
 3965           70    347362      0   0.00%   0.01%  0.00%   -    pdsd
 3966           70      1422      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          510     16531      0   0.00%   0.00%  0.00%   -    licmgr
 3968          300      1403      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          320      7277      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        59      1   0.00%   0.00%  0.00%   -    confcheck
 3971          400     13396      0   0.00%   0.00%  0.00%   -    capability
 3972         1140     82255      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3979          110      1383      0   0.00%   0.00%  0.00%   -    cisco
 3984         7630      9982      0   0.00%   0.00%  0.00%   -    clis
 3989          660      5714      0   0.00%   0.00%  0.00%   -    port-profile
 3996          660     27428      0   0.00%   0.00%  0.00%   -    xmlma
 3997          580     26075      0   0.00%   0.00%  0.00%   -    vmm
 3998          560     10330      0   0.00%   0.00%  0.00%   -    vman
 3999          660     26053      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          690     41127      0   0.00%   0.00%  0.00%   -    ttyd
 4001          220    153732      0   0.19%   0.18%  0.18%   -    sysinfo
 4002         1080     82230      0   0.00%   0.00%  0.00%   -    sksd
 4004          210      1630      0   0.00%   0.00%  0.00%   -    res_mgr
 4005         1130     82714      0   0.00%   0.00%  0.00%   -    plugin
 4006          140      2778      0   0.00%   0.00%  0.00%   -    patch-installer
 4007          310      8554      0   0.00%   0.00%  0.00%   -    mvsh
 4008           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 4009          630     26059      0   0.00%   0.00%  0.00%   -    module
 4012          250      8640      0   0.00%   0.00%  0.00%   -    evms
 4015          280      6176      0   0.00%   0.00%  0.00%   -    evmc
 4016          280      4135      0   0.00%   0.00%  0.00%   -    crdcfg_server
 4017          150        34      4   0.00%   0.00%  0.00%   -    core-dmon
 4018          580     26010      0   0.00%   0.00%  0.00%   -    cli_acl
 4020          560     10351      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4021         1430     82293      0   0.00%   0.00%  0.00%   -    securityd
 4022         1080     82230      0   0.00%   0.00%  0.00%   -    cert_enroll
 4023         1280     83683      0   0.00%   0.00%  0.00%   -    aaa
 4025            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 4026           70      5057      0   0.00%   0.00%  0.00%   -    l3vm
 4028           80     86945      0   0.00%   0.00%  0.00%   -    urib
 4034         1160      2134      0   0.00%   0.00%  0.00%   -    aclmgr
 4037        96890   4353302      0   0.00%   0.11%  0.11%   -    ori_fwd
 4040       107280     84046      1   0.19%   0.13%  0.13%   -    port_client
 4044        39970     29398      1   0.00%   0.00%  0.00%   -    statsclient
 4045          520     25958      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4047         4460    898645      0   0.00%   0.03%  0.02%   -    snmpd
 4054          120      4463      0   0.00%   0.00%  0.00%   -    npacl
 4060           80   6555625      0   0.19%   0.07%  0.06%   -    adjmgr
 4062           70     18681      0   0.00%   0.00%  0.00%   -    u6rib
 4070          160        33      4   0.00%   0.00%  0.00%   -    ExceptionLog
 4072         1950     41489      0   0.00%   0.00%  0.00%   -    bootvar
 4076          590     13474      0   0.00%   0.00%  0.00%   -    ifmgr
 4079          360     13678      0   0.00%   0.00%  0.00%   -    tcap
 4083         1640     87804      0   0.00%   0.00%  0.00%   -    callhome
 4104          160     89065      0   0.00%   0.00%  0.00%   -    arp
