Memory utilization statistics at 2026-06-16 21:09:39 174 ms
System Total Memory Is: 527063956 Kbytes
Total Memory Used Is: 72684128 Kbytes
Memory Using Percentage Is: 13%
----------------------------------------
Process memory information in the slot:
----------------------------------------
ProcessId  ProcessName      Used(Kbytes)
----------------------------------------
3          CFG                    430433
1010       PSM1                    52271
1015       FESMB                   52052
1017       PROTO2                  35062
10001      RM                      24608
1008       CFG_COMMON              26656
1009       LOGSERVER               26656
1013       IFM                     23584
2          SM                      21022
4          LM                      20573
1021       UM                      17436
1011       STK                     17436
1005       PKI                     14385
1007       ARP                     16412
1019       LLP                     16412
1006       DHCP                    16412
1014       RESP                    16412
1020       OAM                     16412
1004       PSM2                    14362
1022       SSH                     14362
1018       PNP                     14362
1016       TNL6                    14362
1023       OPS                     14362
1002       LICENSE                 12314
1001       TTY                     12314
1003       CONSOLE                 12314
1012       EWM                     14362
1000       TMC                     12314
0          system               71704466
----------------------------------------
