
OSPF Process 100 with Router ID 3.3.3.5
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    3.3.3.1         3.3.3.1         1612     96 8000002c            5
 Router    3.3.3.2         3.3.3.2          593     60 8000002c            1
 Router    3.3.3.3         3.3.3.3           19     60 8000002d            1
 Router    3.3.3.4         3.3.3.4         1132     60 8000002c            1
 Router    3.3.3.5         3.3.3.5         1540     60 8000002c            1
 Router    3.3.3.6         3.3.3.6         1154     60 8000002c            5
 Network   8.6.12.1        3.3.3.1          739     32 8000002a            0
 Network   8.6.13.1        3.3.3.1          801     32 8000002a            0
 Network   8.6.24.4        3.3.3.4         1212     32 8000002a            0
 Network   8.6.35.5        3.3.3.5         1330     32 8000002a            0
 Network   8.6.46.4        3.3.3.4         1174     32 8000002a            0
 Network   8.6.56.6        3.3.3.6         1228     32 8000002a            0
