
OSPF Process 1 with Router ID 10.1.254.1
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1      1561     72 80000030            1
 Router    10.1.254.2      10.1.254.2      1484     72 80000030            1
 Router    10.1.254.3      10.1.254.3      1524     96 80000037            1
 Router    10.1.254.4      10.1.254.4      1525     96 80000036        65500
 Router    10.1.254.6      10.1.254.6       398     84 8000002c            1
 Sum-Net   10.1.10.0       10.1.254.1      1334     28 8000002e            1
 Sum-Net   10.1.10.0       10.1.254.2      1288     28 8000002e            1
 Sum-Net   10.1.10.254     10.1.254.1      1533     28 8000002f            2
 Sum-Net   10.1.10.254     10.1.254.2      1469     28 8000002f            1
 Sum-Net   10.1.20.0       10.1.254.1      1467     28 8000002e            1
 Sum-Net   10.1.20.0       10.1.254.2      1257     28 8000002e            1
 Sum-Net   10.1.20.254     10.1.254.1      1594     28 8000002e            2
 Sum-Net   10.1.20.254     10.1.254.2      1447     28 8000002f            1
 Sum-Net   10.1.30.0       10.1.254.1      1492     28 8000002e            1
 Sum-Net   10.1.30.0       10.1.254.2      1489     28 8000002e            1
 Sum-Net   10.1.30.254     10.1.254.1      1012     28 8000002f            1
 Sum-Net   10.1.30.254     10.1.254.2      1020     28 8000002e            2
 Sum-Net   10.1.40.0       10.1.254.1      1511     28 8000002e            1
 Sum-Net   10.1.40.0       10.1.254.2      1317     28 8000002e            1
 Sum-Net   10.1.40.254     10.1.254.1      1108     28 8000002e            1
 Sum-Net   10.1.40.254     10.1.254.2      1093     28 8000002f            2
 Sum-Net   10.1.50.0       10.1.254.3      1524     28 8000002f            2
 Sum-Net   10.1.50.0       10.1.254.4      1525     28 8000002f        65501
 Sum-Net   10.1.60.0       10.1.254.3      1524     28 8000002f            2
 Sum-Net   10.1.60.0       10.1.254.4      1525     28 8000002f        65501
 Sum-Net   10.1.110.0      10.1.254.1      1150     28 8000002e            1
 Sum-Net   10.1.110.0      10.1.254.2       111     28 8000002f            1
 Sum-Net   10.1.110.254    10.1.254.1      1513     28 8000002e            2
 Sum-Net   10.1.110.254    10.1.254.2      1603     28 8000002f            1
 Sum-Net   10.1.120.0      10.1.254.1      1400     28 8000002e            1
 Sum-Net   10.1.120.0      10.1.254.2      1621     28 8000002e            1
 Sum-Net   10.1.120.254    10.1.254.1      1668     28 8000002f            2
 Sum-Net   10.1.120.254    10.1.254.2      1547     28 8000002f            1
 Sum-Net   10.1.200.24     10.1.254.3      1524     28 80000030            1
 Sum-Net   10.1.200.24     10.1.254.4      1525     28 8000002f        65501
