2026-06-16 07:34:54.710

	 OSPF Process 1 with Router ID 10.1.254.3
		 Link State Database

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3          88  96    80000031       1
 Router    10.1.254.2      10.1.254.2        1559  72    80000029       1
 Router    10.1.254.1      10.1.254.1        1796  72    80000029       1
 Router    10.1.254.6      10.1.254.6         257  84    80000026       1
 Router    10.1.254.4      10.1.254.4          91  96    80000030    65500
 Sum-Net   10.1.200.28     10.1.254.4          91  28    80000029    65500
 Sum-Net   10.1.200.28     10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.200.24     10.1.254.3          88  28    8000002A       1
 Sum-Net   10.1.200.24     10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.10.0       10.1.254.1        1423  28    80000027       1
 Sum-Net   10.1.10.0       10.1.254.2        1394  28    80000027       1
 Sum-Net   10.1.10.254     10.1.254.1         167  28    80000028       1
 Sum-Net   10.1.10.254     10.1.254.2         110  28    80000028       2
 Sum-Net   10.1.20.0       10.1.254.1        1627  28    80000027       1
 Sum-Net   10.1.20.0       10.1.254.2        1520  28    80000027       1
 Sum-Net   10.1.20.254     10.1.254.1        1602  28    80000027       1
 Sum-Net   10.1.20.254     10.1.254.2         207  28    80000028       2
 Sum-Net   10.1.60.0       10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.60.0       10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.110.0      10.1.254.1        1362  28    80000027       1
 Sum-Net   10.1.110.0      10.1.254.2         374  28    80000028       1
 Sum-Net   10.1.110.254    10.1.254.1        1472  28    80000027       1
 Sum-Net   10.1.110.254    10.1.254.2          52  28    80000028       2
 Sum-Net   10.1.120.0      10.1.254.1        1505  28    80000027       1
 Sum-Net   10.1.120.0      10.1.254.2        1701  28    80000027       1
 Sum-Net   10.1.120.254    10.1.254.1          37  28    80000028       1
 Sum-Net   10.1.120.254    10.1.254.2        1622  28    80000027       2
 Sum-Net   10.1.30.0       10.1.254.1        1527  28    80000027       1
 Sum-Net   10.1.30.0       10.1.254.2        1629  28    80000027       1
 Sum-Net   10.1.30.254     10.1.254.1         222  28    80000028       2
 Sum-Net   10.1.30.254     10.1.254.2        1101  28    80000027       1
 Sum-Net   10.1.50.0       10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.50.0       10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.40.0       10.1.254.1          40  28    80000028       1
 Sum-Net   10.1.40.0       10.1.254.2        1543  28    80000027       1
 Sum-Net   10.1.40.254     10.1.254.1         851  28    80000027       2
 Sum-Net   10.1.40.254     10.1.254.2          92  28    80000028       1

		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3          88  48    8000002D       1
 Router    10.1.254.5      10.1.254.5         927  96    8000002A       1
 Router    10.1.254.4      10.1.254.4          91  48    8000002C    65500
 Sum-Net   10.1.254.6      10.1.254.3          88  28    80000028       2
 Sum-Net   10.1.254.6      10.1.254.4          91  28    80000028    65501
 Sum-Net   10.1.200.12     10.1.254.4          91  28    80000029    65500
 Sum-Net   10.1.200.12     10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.200.8      10.1.254.3          88  28    8000002A       1
 Sum-Net   10.1.200.8      10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.200.4      10.1.254.4          91  28    80000029    65500
 Sum-Net   10.1.200.4      10.1.254.3          88  28    8000002A       2
 Sum-Net   10.1.200.0      10.1.254.3          88  28    8000002A       1
 Sum-Net   10.1.200.0      10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.200.20     10.1.254.4          91  28    80000029    65500
 Sum-Net   10.1.200.20     10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.200.16     10.1.254.3          88  28    80000028       1
 Sum-Net   10.1.200.16     10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.10.0       10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.10.0       10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.10.254     10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.10.254     10.1.254.3          88  28    8000002A       2
 Sum-Net   10.1.20.0       10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.20.0       10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.20.254     10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.20.254     10.1.254.3          88  28    8000002A       2
 Sum-Net   10.1.110.0      10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.110.0      10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.110.254    10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.110.254    10.1.254.3          88  28    8000002A       2
 Sum-Net   10.1.120.0      10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.120.0      10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.120.254    10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.120.254    10.1.254.3          88  28    8000002A       2
 Sum-Net   10.1.30.0       10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.30.0       10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.30.254     10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.30.254     10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.40.0       10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.40.0       10.1.254.3          88  28    80000029       2
 Sum-Net   10.1.40.254     10.1.254.4          91  28    80000029    65501
 Sum-Net   10.1.40.254     10.1.254.3          88  28    80000029       2
 Sum-Asbr  10.1.254.6      10.1.254.3          88  28    80000028       1
 Sum-Asbr  10.1.254.6      10.1.254.4          91  28    80000028    65500


		 AS External Database
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 External  0.0.0.0         10.1.254.6         257  36    80000023       1
 External  10.3.10.0       10.1.254.6         257  36    80000023       1
 External  10.3.20.0       10.1.254.6         257  36    80000023       1
 External  10.3.30.0       10.1.254.6         257  36    80000023       1
 External  10.2.10.0       10.1.254.6         257  36    80000023       1
 External  10.2.20.0       10.1.254.6         257  36    80000023       1
 External  10.2.30.0       10.1.254.6         257  36    80000023       1
