2026-06-16 11:46:22.840

	 OSPF Process 1 with Router ID 10.1.254.4
		 Link State Database

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         778  96    80000039       1
 Router    10.1.254.2      10.1.254.2         780  72    80000032       1
 Router    10.1.254.1      10.1.254.1         792  72    80000032       1
 Router    10.1.254.6      10.1.254.6        1252  84    8000002D       1
 Router    10.1.254.4      10.1.254.4         776  96    80000038    65500
 Sum-Net   10.1.200.28     10.1.254.4         776  28    80000031    65500
 Sum-Net   10.1.200.28     10.1.254.3         778  28    80000031       2
 Sum-Net   10.1.200.24     10.1.254.4         776  28    80000031    65501
 Sum-Net   10.1.200.24     10.1.254.3         778  28    80000032       1
 Sum-Net   10.1.10.0       10.1.254.1         691  28    80000030       1
 Sum-Net   10.1.10.0       10.1.254.2         722  28    80000030       1
 Sum-Net   10.1.10.254     10.1.254.1         882  28    80000031       2
 Sum-Net   10.1.10.254     10.1.254.2         856  28    80000031       1
 Sum-Net   10.1.20.0       10.1.254.1         645  28    80000030       1
 Sum-Net   10.1.20.0       10.1.254.2         638  28    80000030       1
 Sum-Net   10.1.20.254     10.1.254.1         839  28    80000030       2
 Sum-Net   10.1.20.254     10.1.254.2         698  28    80000031       1
 Sum-Net   10.1.60.0       10.1.254.4         776  28    80000031    65501
 Sum-Net   10.1.60.0       10.1.254.3         778  28    80000031       2
 Sum-Net   10.1.110.0      10.1.254.1         501  28    80000030       1
 Sum-Net   10.1.110.0      10.1.254.2        1212  28    80000030       1
 Sum-Net   10.1.110.254    10.1.254.1         716  28    80000030       2
 Sum-Net   10.1.110.254    10.1.254.2         934  28    80000031       1
 Sum-Net   10.1.120.0      10.1.254.1         776  28    80000030       1
 Sum-Net   10.1.120.0      10.1.254.2         915  28    80000030       1
 Sum-Net   10.1.120.254    10.1.254.1         977  28    80000031       2
 Sum-Net   10.1.120.254    10.1.254.2         845  28    80000031       1
 Sum-Net   10.1.30.0       10.1.254.1         672  28    80000030       1
 Sum-Net   10.1.30.0       10.1.254.2         835  28    80000030       1
 Sum-Net   10.1.30.254     10.1.254.1         280  28    80000031       1
 Sum-Net   10.1.30.254     10.1.254.2         355  28    80000030       2
 Sum-Net   10.1.50.0       10.1.254.4         776  28    80000031    65501
 Sum-Net   10.1.50.0       10.1.254.3         778  28    80000031       2
 Sum-Net   10.1.40.0       10.1.254.1         911  28    80000030       1
 Sum-Net   10.1.40.0       10.1.254.2         643  28    80000030       1
 Sum-Net   10.1.40.254     10.1.254.1         440  28    80000030       1
 Sum-Net   10.1.40.254     10.1.254.2         256  28    80000031       2

		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3         778  48    80000035       1
 Router    10.1.254.5      10.1.254.5         274  96    80000033       1
 Router    10.1.254.4      10.1.254.4         776  48    80000034    65500
