2026-06-04 08:18:28.180 
CPU Usage Stat. Cycle: 10 (Second)
CPU Usage            :   4.0%  Max:  53.4% 
CPU utilization for ten seconds:   4.0% : one minute:   4.1% : five minutes:   4.4% 

PID   ProcessName         CPU       Runtime     State
1890  fpath.out           2.7%      126060      S
1634  vrp                 1.0%      48879       S
1651  vrpio_s             0.2%      10481       S
1891  nlog.out            0.0%      1413        S
1902  auth.out            0.0%      939         S
1906  nge.out             0.0%      20920       S
1892  slb_proxy.out       0.0%      3361        S
1904  restful.out         0.0%      1716        S
1899  ike.out             0.0%      1451        S
1900  am.out              0.0%      1125        S
1666  procmgmt.out        0.0%      658         S
1897  mail_send.out       0.0%      298         S
1894  svn.out             0.0%      232         S
1909  hc_https_client.out  0.0%      128         S
1907  netopeer-server.out  0.0%      65          S
1905  disk_smart.out      0.0%      33          S
1908  svnupgrade.out      0.0%      25          S
1901  umdb.out            0.0%      24          S
1896  aapt.out            0.0%      3           S
1898  tcpproxy.out        0.0%      3           S
1893  mail_proxy.out      0.0%      2           S
1895  rbl.out             0.0%      1           S
1992  sshd.out            0.0%      1           S
