2026-06-15 11:00:49.040 

	 OSPF Process 1 with Router ID 10.1.254.4
		 Link State Database 

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3        1414  96    80000247       1
 Router    10.1.254.2      10.1.254.2         287  72    80000172       1
 Router    10.1.254.1      10.1.254.1          17  72    80000176     100
 Router    10.1.254.6      10.1.254.6         586  84    800000B8       1
 Router    10.1.254.4      10.1.254.4         627  96    800002A2    65500
 Sum-Net   10.1.200.28     10.1.254.4        1411  28    8000013A    65500
 Sum-Net   10.1.200.28     10.1.254.3        1413  28    80000133       2
 Sum-Net   10.1.200.24     10.1.254.3        1414  28    80000135       1
 Sum-Net   10.1.200.24     10.1.254.4        1410  28    80000134    65501
 Sum-Net   10.1.10.0       10.1.254.1        1356  28    800000CB       1
 Sum-Net   10.1.10.0       10.1.254.2        1533  28    800000CB       1
 Sum-Net   10.1.10.254     10.1.254.1         445  28    800000CB       1
 Sum-Net   10.1.10.254     10.1.254.2         226  28    80000376       2
 Sum-Net   10.1.20.0       10.1.254.1        1694  28    800000CB       1
 Sum-Net   10.1.20.0       10.1.254.2         920  28    800000CB       1
 Sum-Net   10.1.20.254     10.1.254.1        1346  28    800000CB       1
 Sum-Net   10.1.20.254     10.1.254.2        1742  28    800001A4       2
 Sum-Net   10.1.60.0       10.1.254.3        1413  28    80000133       2
 Sum-Net   10.1.60.0       10.1.254.4        1410  28    80000133    65501
 Sum-Net   10.1.110.0      10.1.254.1         862  28    800000CB       1
 Sum-Net   10.1.110.0      10.1.254.2        1197  28    800000CC       1
 Sum-Net   10.1.110.254    10.1.254.1         455  28    800000CC       1
 Sum-Net   10.1.110.254    10.1.254.2        1730  28    800000CB       2
 Sum-Net   10.1.120.0      10.1.254.1         120  28    800000CC       1
 Sum-Net   10.1.120.0      10.1.254.2        1569  28    800000CB       1
 Sum-Net   10.1.120.254    10.1.254.1        1249  28    800000CC       1
 Sum-Net   10.1.120.254    10.1.254.2        1480  28    800000CB       2
 Sum-Net   10.1.30.0       10.1.254.1         825  28    800000CC       1
 Sum-Net   10.1.30.0       10.1.254.2         276  28    800000CC       1
 Sum-Net   10.1.30.254     10.1.254.1         758  28    800003F9       2
 Sum-Net   10.1.30.254     10.1.254.2        1169  28    800000CB       1
 Sum-Net   10.1.50.0       10.1.254.3        1413  28    80000133       2
 Sum-Net   10.1.50.0       10.1.254.4        1410  28    80000133    65501
