Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.1.200.17            12   0c7c.6cf7.0000  ARPA   Port-channel1
Internet  10.1.200.18             -   001e.146e.33c0  ARPA   Port-channel1
Internet  10.1.200.21            13   0c19.210c.0000  ARPA   Port-channel2
Internet  10.1.200.22             -   001e.146e.33c1  ARPA   Port-channel2
Internet  10.10.100.1            14   3869.9411.0200  ARPA   GigabitEthernet4
Internet  10.10.100.2             -   0ce5.1977.0003  ARPA   GigabitEthernet4
Internet  10.10.100.13           14   3869.9411.0201  ARPA   GigabitEthernet5
Internet  10.10.100.14            -   0ce5.1977.0004  ARPA   GigabitEthernet5
Internet  20.0.0.2                -   0ce5.1977.0016  ARPA   GigabitEthernet23
Internet  100.100.100.1           -   0ce5.1977.0000  ARPA   GigabitEthernet1
Internet  100.100.100.201         -   0ce5.1977.0000  ARPA   GigabitEthernet1
Internet  100.100.100.253         -   0ce5.1977.0000  ARPA   GigabitEthernet1
Internet  100.100.100.254         6   3808.0011.1200  ARPA   GigabitEthernet1
