Logging buffer configuration and contents : enabled
Allowed max buffer size : 10240
Actual buffer size : 512
Channel number : 4 , Channel name : logbuffer
Dropped messages : 0
Overwritten messages : 25121
Current messages : 512

Jun 16 2026 03:43:05 Core_SW_02 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 16 2026 03:43:05 Core_SW_02 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (Interface=GE1/0/1, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=GE1/0/1, RemoteDeviceManageAddress=10.1.254.1)
Jun 16 2026 03:43:05 Core_SW_02 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/1, RemoteChassisType=macAddress, RemoteChassisId=3807-0011-1200, RemotePortIdType=interfaceName, RemotePortId=GE1/0/1, RemoteSystemName=Core_SW_01, RemoteSystemDescription=Huawei Versatile Routing Platform Software  VRP (R) software, Version 8.231 (CE12800 V800R023C10SPC100B313)  Copyright (C) 2012-2023 Huawei Technologies Co., Ltd.  HUAWEI CE12800  , RemoteSystemCapabilitySupported=bridge router, RemoteSystemCapabilityEnabled=bridge router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.1)
Jun 16 2026 03:42:59 Core_SW_02 %%01LLDP/4/LLDP_REMTABLECHANGE(l):CID=0x80a5045a;LLDP neighbor information was changed. (Added=0, Deleted=0, Dropped=0, Aged=1)
Jun 16 2026 03:42:59 Core_SW_02 %%01LLDP/4/LLDP_INTERFACE_REM_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (Interface=GE1/0/8, Action=deleted, Added=0, Deleted=1, RemoteInterfaceName=GigabitEthernet1/0/2, RemoteDeviceManageAddress=10.1.254.3)
Jun 16 2026 03:42:59 Core_SW_02 %%01LLDP/4/LLDP_INTERFACE_NEIGB_CHANGE(l):CID=0x80a5045a;Neighbor information of the interface was changed. (NeighborIndex=1, Action=deleted, Interface=GE1/0/8, RemoteChassisType=macAddress, RemoteChassisId=0c7c-6cf7-0000, RemotePortIdType=interfaceName, RemotePortId=GigabitEthernet1/0/2, RemoteSystemName=FW_01, RemoteSystemDescription=FW_01, Huawei Versatile Routing Platform Software, Software Version : USG6000V2 V500R005C00SPC100 (VRP (R) Software, Version 5.170), Copyright (C) 2014-2018 Huawei Technologies Co., Ltd., RemoteSystemCapabilitySupported=router, RemoteSystemCapabilityEnabled=router, RemoteManagementAddressType=ipv4, RemoteManagementAddress=10.1.254.3)
Jun 16 2026 03:42:43 Core_SW_02 %%01OSPF/2/ospfNbrStateChange_active(l):CID=0x80830457-alarmID=0x08900005;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.2, NbrIpAddress=10.1.200.9, NbrAddressLessIndex=0, NbrRtrId=10.1.254.3, NbrState=5, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=51, LocalIfIpAddress=10.1.200.10, IfName=Vlanif203, VpnName=_public_, Reason=Protocol reason, SubReason=I Bit Incorrect in DD)
Jun 16 2026 03:42:43 Core_SW_02 %%01OSPF/3/NBR_DOWN_REASON(l):CID=0x80830457;Neighbor state left full or changed to Down. (ProcessId=1, NeighborRouterId=10.1.254.3, NeighborIp=10.1.200.9, NeighborAreaId=0.0.0.0, NeighborInterface=Vlanif203, NeighborDownImmediate reason=Neighbor Down Due to SequenceNum Mismatch, NeighborDownPrimeReason=I Bit Incorrect in DD, Interface interval 0, Packet interval 4, CpuUsage=19%, VpnName=_public_, IfMTU=1500, LocalIp=10.1.200.10,SystemInfo=Avai:474298752, Com:102203960, mlo:106016, cpu:19, pin:1261017939, pout:4294967295, kernelRat:11.14, NiceRate:0.28, IowaitRate:0.0, HardIrqRate:0.57, SoftIrqRate:0.98, StealstolenRate:0.0)
Jun 16 2026 03:42:38 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_FORWARDING(l):CID=0x80547543;The MSTP process's port has been set to forwarding state. (ProcessID=0, InstanceID=0, PortID=43, IfIndex=55, PortName=Eth-Trunk3, PwName=-)
Jun 16 2026 03:42:38 Core_SW_02 %%01MSTP/4/PORT_STATE_FORWARDING(l):CID=0x80547543;The port has been set to forwarding state. (InstanceID=0, PortIndex=55, IfIndex=55, PortName=Eth-Trunk3, PwName=-)
Jun 16 2026 03:42:38 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_LEARNING(l):CID=0x80547543;The MSTP process's port has been set to learning state. (ProcessID=0, InstanceID=0, PortID=43, IfIndex=55, PortName=Eth-Trunk3, PwName=-)
Jun 16 2026 03:42:34 Core_SW_02 %%01RM/4/RM_DELETE_DEFAULTRT(l):CID=0x80717539;The default route is deleted. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif203, Nexthop=10.1.200.9, Neighbour=, Preference=150, Metric=1, IndirectID=16777359)
Jun 16 2026 03:42:34 Core_SW_02 %%01RM/4/RM_ADD_DEFAULTRT(l):CID=0x80717539;The default route is added. (AddrFamily=IPv4, InstanceID=_public_, ProcessID=1, ProtocolID=OSPF, SubProtocolID=O_ASE, ExitIf=Vlanif204, Nexthop=10.1.200.13, Neighbour=, Preference=150, Metric=1, IndirectID=16777357)
Jun 16 2026 03:42:34 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_DISCARDING(l):CID=0x80547543;The MSTP process's port has been set to discarding state. (ProcessID=0, InstanceID=0, PortID=43, IfIndex=55, PortName=Eth-Trunk3, PwName=-)
Jun 16 2026 03:42:34 Core_SW_02 %%01MSTP/4/PORT_STATE_DISCARDING(l):CID=0x80547543;The port has been set to discarding state. (InstanceID=0, PortIndex=55, IfIndex=55, PortName=Eth-Trunk3, PwName=-)
Jun 16 2026 03:42:34 Core_SW_02 %%01IFNET/2/linkDown_clear(l):CID=0x807a040f-alarmID=0x08520003-clearType=service_resume;The interface status changes. (ifName=Eth-Trunk3, AdminStatus=UP, OperStatus=UP, Reason=Interface physical link is up, mainIfname=Eth-Trunk3)
Jun 16 2026 03:42:34 Core_SW_02 %%01LACP/4/LACP_STATE_DOWN(l):CID=0x80480454;The LACP state is down. (PortName=GE1/0/8, TrunkName=Eth-Trunk3, LastReceivePacketTime=[2026-06-16 03:41:04:134], Reason=No LACPDUs were received when the timer expired. Please check link connections or remote interface's status.)
Jun 16 2026 03:42:34 Core_SW_02 %%01IFNET/2/linkDown_active(l):CID=0x807a040f-alarmID=0x08520003;The interface status changes. (ifName=Eth-Trunk3, AdminStatus=UP, OperStatus=DOWN, Reason=The conditions for the activation of the interface are not met, mainIfname=Eth-Trunk3)
Jun 16 2026 03:42:24 Core_SW_02 %%01OSPF/2/ospfNbrStateChange_clear(l):CID=0x80830457-alarmID=0x08900005-clearType=service_resume;The status of the non-virtual neighbor has changed. (RouterId=10.1.254.2, NbrIpAddress=10.1.200.13, NbrAddressLessIndex=0, NbrRtrId=10.1.254.4, NbrState=8, ProcessId=1, AreaId=0.0.0.0, IfnetIndex=52, LocalIfIpAddress=10.1.200.14, IfName=Vlanif204, VpnName=_public_, Reason=Alarm clear, SubReason=neighbor full)
Jun 16 2026 03:42:11 Core_SW_02 %%01MSTP/1/TOPOLOGY_CHANGE(l):CID=0x80547543;Bridge topology changed.
Jun 16 2026 03:42:11 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_FORWARDING(l):CID=0x80547543;The MSTP process's port has been set to forwarding state. (ProcessID=0, InstanceID=3, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 03:42:11 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_FORWARDING(l):CID=0x80547543;The MSTP process's port has been set to forwarding state. (ProcessID=0, InstanceID=1, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 03:42:11 Core_SW_02 %%01MSTP/4/MSTPLOG_PROPORT_STATE_FORWARDING(l):CID=0x80547543;The MSTP process's port has been set to forwarding state. (ProcessID=0, InstanceID=0, PortID=4, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 03:42:11 Core_SW_02 %%01MSTP/4/PORT_STATE_FORWARDING(l):CID=0x80547543;The port has been set to forwarding state. (InstanceID=3, PortIndex=8, IfIndex=8, PortName=GE1/0/3, PwName=-)
Jun 16 2026 03:42:11 Core_SW_02 %%01MSTP/4/PORT_STATE_FORWARDING(l):CID=0x80547543;The port has been set to forwarding state. (InstanceID=1, PortIndex=8, IfIndex=8, PortName=GE1/0/3, PwName=-)
