display mac-address
MAC Address      VLAN ID    State            Port/Nickname            Aging
0000-5e00-0104   40         Learned          HGE1/0/2                 Y
3807-0011-1200   40         Learned          HGE1/0/1                 Y
3808-0011-1200   40         Learned          HGE1/0/2                 Y
0000-5e00-0105   110        Learned          HGE1/0/1                 Y
3807-0011-1200   110        Learned          HGE1/0/1                 Y
3808-0011-1200   110        Learned          HGE1/0/2                 Y
c62f-a9e9-9f77   110        Learned          HGE1/0/4                 Y
0000-5e00-0106   120        Learned          HGE1/0/1                 Y
3807-0011-1200   120        Learned          HGE1/0/2                 Y
3808-0011-1200   120        Learned          HGE1/0/1                 Y
