
CPU utilization for five seconds: 1%/0%; one minute: 0%; five minutes: 1%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         1580      6664      0   0.00%   0.00%  0.00%   -    init
 3338            0         5      0   0.00%   0.00%  0.00%   -    portmap
 3376           10         8      1   0.00%   0.00%  0.00%   -    rpc.statd
 3386         2640     69387      0   0.00%   0.00%  0.00%   -    sysmgr
 3936           10         3      3   0.00%   0.00%  0.00%   -    xinetd
 3937           10         5      2   0.00%   0.00%  0.00%   -    tftpd
 3938         3680     41362      0   0.00%   0.01%  0.01%   -    syslogd
 3939          100        23      4   0.00%   0.00%  0.00%   -    sdwrapd
 3940          160        61      2   0.00%   0.00%  0.00%   -    pfm_dummy
 3941         3610     34737      0   0.00%   0.00%  0.00%   -    platform
 3953           20       975      0   0.00%   0.00%  0.00%   -    klogd
 3958          230      5583      0   0.00%   0.00%  0.00%   -    vshd
 3960          260     10609      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 3961           50      1971      0   0.00%   0.00%  0.00%   -    smm
 3962          300     10335      0   0.00%   0.00%  0.00%   -    session-mgr
 3963          500     33553      0   0.00%   0.00%  0.00%   -    psshelper
 3964          310     10287      0   0.00%   0.00%  0.00%   -    pixm
 3965           70    180661      0   0.19%   0.01%  0.00%   -    pdsd
 3966           40       601      0   0.00%   0.00%  0.00%   -    lmgrd
 3967          250      6654      0   0.00%   0.00%  0.00%   -    licmgr
 3968          230       582      0   0.00%   0.00%  0.00%   -    fs-daemon
 3969          240      3032      0   0.00%   0.00%  0.00%   -    feature-mgr
 3970          110        51      2   0.00%   0.00%  0.00%   -    confcheck
 3971          240      5437      0   0.00%   0.00%  0.00%   -    capability
 3972          480     32985      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 3979           40       565      0   0.00%   0.00%  0.00%   -    cisco
 3984         7480      6181      1   0.00%   0.00%  0.00%   -    clis
 3989          680      2633      0   0.00%   0.00%  0.00%   -    port-profile
 3996          340     10998      0   0.00%   0.00%  0.00%   -    xmlma
 3997          290     10519      0   0.00%   0.00%  0.00%   -    vmm
 3998          290      4171      0   0.00%   0.00%  0.00%   -    vman
 3999          370     10396      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4000          350     16483      0   0.00%   0.00%  0.00%   -    ttyd
 4001           90     61900      0   0.19%   0.19%  0.19%   -    sysinfo
 4002          450     32953      0   0.00%   0.00%  0.00%   -    sksd
 4004          200       692      0   0.00%   0.00%  0.00%   -    res_mgr
 4005          480     33310      0   0.00%   0.00%  0.00%   -    plugin
 4006          120      1126      0   0.00%   0.00%  0.00%   -    patch-installer
 4007          210      3483      0   0.00%   0.00%  0.00%   -    mvsh
 4008           10         5      2   0.00%   0.00%  0.00%   -    mping_server
 4009          340     10404      0   0.00%   0.00%  0.00%   -    module
 4012          150      3499      0   0.00%   0.00%  0.00%   -    evms
 4015          210      2791      0   0.00%   0.00%  0.00%   -    evmc
 4016          230      1669      0   0.00%   0.00%  0.00%   -    crdcfg_server
 4017          150        33      4   0.00%   0.00%  0.00%   -    core-dmon
 4018          300     10398      0   0.00%   0.00%  0.00%   -    cli_acl
 4020          410      4184      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4021          630     33024      0   0.00%   0.00%  0.00%   -    securityd
 4022          480     32950      0   0.00%   0.00%  0.00%   -    cert_enroll
 4023          630     34368      0   0.00%   0.00%  0.00%   -    aaa
 4025            0         1      0   0.00%   0.00%  0.00%   -    dhcpd
 4026           70      3238      0   0.00%   0.00%  0.00%   -    l3vm
 4027           80     35802      0   0.00%   0.00%  0.00%   -    urib
 4033          580       979      0   0.00%   0.00%  0.00%   -    aclmgr
 4037        32340   1743397      0   0.00%   0.08%  0.08%   -    ori_fwd
 4040        43680     34361      1   0.19%   0.12%  0.12%   -    port_client
 4043         7830     10763      0   0.00%   0.00%  0.00%   -    statsclient
 4046         1820    361013      0   0.00%   0.00%  0.01%   -    snmpd
 4048          240     10490      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4051          110      1815      0   0.00%   0.00%  0.00%   -    npacl
 4060           80   2626285      0   0.19%   0.04%  0.03%   -    adjmgr
 4062           70      7998      0   0.00%   0.00%  0.00%   -    u6rib
 4075          160        34      4   0.00%   0.00%  0.00%   -    ExceptionLog
 4077         1670     16809      0   0.00%   0.00%  0.00%   -    bootvar
 4078          430      5605      0   0.00%   0.00%  0.00%   -    ifmgr
 4079          230      5599      0   0.00%   0.00%  0.00%   -    tcap
 4083          640     35547      0   0.00%   0.00%  0.00%   -    callhome
 4102          160     36578      0   0.00%   0.00%  0.00%   -    arp
 4108           70      2614      0   0.00%   0.00%  0.00%   -    icmpv6
 4131          110    228330      0   0.19%   0.04%  0.03%   -    l2fwd
 4132          100    205665      0   0.00%   0.01%  0.01%   -    pktmgr
 4158          150    479328      0   0.00%   0.04%  0.03%   -    netstack
 4198          820     32989      0   0.00%   0.00%  0.00%   -    radius
 4202          420     10530      0   0.00%   0.00%  0.00%   -    cdp
 4204          330     11232      0   0.00%   0.00%  0.00%   -    cfs
 4208           10         7      1   0.00%   0.00%  0.00%   -    ip_dummy
 4210           10         6      1   0.00%   0.00%  0.00%   -    ipv6_dummy
 4211          230      2200      0   0.00%   0.00%  0.00%   -    ntp
 4214          270     10918      0   0.00%   0.00%  0.00%   -    otm
 4215           10         9      1   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4223           50        30      1   0.00%   0.00%  0.00%   -    dcos-xinetd
 4249         1180     65577      0   0.00%   0.00%  0.00%   -    ntpd
 4955         9610      6316      1   0.00%   0.00%  0.00%   -    vlan_mgr
 4959          110     13963      0   0.00%   0.00%  0.00%   -    rpm
 4961          380     11362      0   0.00%   0.00%  0.00%   -    pltfm_config
 4963          260     10371      0   0.00%   0.00%  0.00%   -    plsm
 4964          260     10202      0   0.00%   0.00%  0.00%   -    plcmgr
 4967          280     10361      0   0.19%   0.01%  0.00%   -    pixmc
 4968         1570      4559      0   0.00%   0.00%  0.00%   -    pfstat
 4976         4290    156727      0   0.00%   0.00%  0.01%   -    mtm
 4980          330     10294      0   0.00%   0.00%  0.00%   -    lim
 4985          450     12447      0   0.00%   0.00%  0.00%   -    l2sfe
 4988         1220     35567      0   0.00%   0.02%  0.01%   -    l2rib
 4989          250     10409      0   0.00%   0.01%  0.00%   -    l2fm_ut
 4994          110      3467      0   0.00%   0.00%  0.00%   -    igmp
 4997          290      5459      0   0.00%   0.00%  0.00%   -    eth_port_channel
 5000          220      3999      0   0.00%   0.00%  0.00%   -    eltm
 5003          490     10460      0   0.00%   0.00%  0.00%   -    elo_io
 5006           90   3315441      0   0.00%   0.04%  0.05%   -    ecp
 5011          100        35      2   0.00%   0.00%  0.00%   -    dftm
 5017          880     30316      0   0.00%   0.00%  0.00%   -    bfdc
 5022          140      1925      0   0.00%   0.00%  0.00%   -    adbm
 5030          260      5661      0   0.00%   0.00%  0.00%   -    l2fm
 5082          880     13156      0   0.00%   0.00%  0.00%   -    ethpm
 5136         6010    180700      0   0.00%   0.01%  0.01%   -    stp
 5527          570      1120      0   0.00%   0.00%  0.00%   -    copp
 5907          160      5467      0   0.00%   0.00%  0.00%   -    u2
 5908          130       930      0   0.00%   0.00%  0.00%   -    spm
 5909          240     10370      0   0.00%   0.00%  0.00%   -    sal
 5910          110     86411      0   0.00%   0.00%  0.00%   -    mrib
 5911          270      5466      0   0.00%   0.00%  0.00%   -    mfdm
 5912          250     10173      0   0.00%   0.00%  0.00%   -    mcm
 5913          110    116194      0   0.00%   0.01%  0.01%   -    m6rib
 5914         5000     40676      0   0.00%   0.01%  0.01%   -    l2pt
 5916          370     10485      0   0.00%   0.00%  0.00%   -    ufdm
 5918          140      2523      0   0.00%   0.00%  0.00%   -    m2rib
 5921          110      2206      0   0.00%   0.00%  0.00%   -    mcastfwd
 6023           20        38      0   0.00%   0.00%  0.00%   S0    login
 6025         1800     29755      0   0.00%   0.00%  0.00%   -    gettylogin1
 6029           10         5      2   0.00%   0.00%  0.00%   -    sh
 6037           30        53      0   0.00%   0.00%  0.00%   -    libvirtd
 7585          780     32864      0   0.00%   0.00%  0.00%   S0    vsh
 8208          180      2775      0   0.00%   0.00%  0.00%   -    interface-vlan
 8210         1050      8338      0   0.00%   0.00%  0.00%   -    lldp
18028            0         2      0   0.00%   0.00%  0.00%   S1    getty
