Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.1.200.17             7   0c4d.45a4.0004  ARPA   GigabitEthernet2
Internet  10.1.200.18             -   0c25.0d48.0001  ARPA   GigabitEthernet2
Internet  10.1.200.22             -   0c25.0d48.0002  ARPA   GigabitEthernet3
Internet  10.10.100.1            10   3816.0511.0200  ARPA   GigabitEthernet4
Internet  10.10.100.2             -   0c25.0d48.0003  ARPA   GigabitEthernet4
Internet  10.10.100.13           10   3816.0511.0201  ARPA   GigabitEthernet5
Internet  10.10.100.14            -   0c25.0d48.0004  ARPA   GigabitEthernet5
Internet  20.0.0.2                -   0c25.0d48.0016  ARPA   GigabitEthernet23
Internet  100.100.100.1           -   0c25.0d48.0000  ARPA   GigabitEthernet1
Internet  100.100.100.201         -   0c25.0d48.0000  ARPA   GigabitEthernet1
Internet  100.100.100.253         -   0c25.0d48.0000  ARPA   GigabitEthernet1
Internet  100.100.100.254         9   3803.0011.1200  ARPA   GigabitEthernet1
