2026-06-16 03:06:20.620

	 OSPF Process 1 with Router ID 10.1.254.4
		 Link State Database

		         Area: 0.0.0.0
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3           2  84    80000EF0    65500
 Router    10.1.254.2      10.1.254.2          13  60    80000678       1
 Router    10.1.254.1      10.1.254.1          12  60    80000633     100
 Router    10.1.254.6      10.1.254.6         410  84    800000D5       1
 Router    10.1.254.4      10.1.254.4          23  96    800010BE       1
 Sum-Net   10.1.200.28     10.1.254.4          23  28    800004FC       1
 Sum-Net   10.1.200.28     10.1.254.3          24  28    800004E5    65501
 Sum-Net   10.1.200.24     10.1.254.3          25  28    800004F5    65500
 Sum-Net   10.1.200.24     10.1.254.4          23  28    800004E4       2
 Sum-Net   10.1.10.0       10.1.254.1         975  28    800000EC       1
 Sum-Net   10.1.10.0       10.1.254.2        1544  28    800000EC       1
 Sum-Net   10.1.10.254     10.1.254.1         225  28    800000EC       1
 Sum-Net   10.1.10.254     10.1.254.2           3  28    80001E4F       2
 Sum-Net   10.1.20.0       10.1.254.1        1317  28    800000EC       1
 Sum-Net   10.1.20.0       10.1.254.2         262  28    800000EC       1
 Sum-Net   10.1.20.254     10.1.254.1        1112  28    800000EC       1
 Sum-Net   10.1.20.254     10.1.254.2          27  28    80000F0C       2
 Sum-Net   10.1.60.0       10.1.254.3          24  28    800004E5    65501
 Sum-Net   10.1.60.0       10.1.254.4          23  28    800004E3       2
 Sum-Net   10.1.110.0      10.1.254.1         777  28    800000EC       1
 Sum-Net   10.1.110.0      10.1.254.2        1549  28    800000ED       1
 Sum-Net   10.1.110.254    10.1.254.1        1752  28    800000EC       1
 Sum-Net   10.1.110.254    10.1.254.2        1599  28    800000EC       2
 Sum-Net   10.1.120.0      10.1.254.1          60  28    800000ED       1
 Sum-Net   10.1.120.0      10.1.254.2         805  28    800000EC       1
 Sum-Net   10.1.120.254    10.1.254.1        1019  28    800000ED       1
 Sum-Net   10.1.120.254    10.1.254.2         336  28    800000EE       2
 Sum-Net   10.1.30.0       10.1.254.1        1001  28    800000ED       1
 Sum-Net   10.1.30.0       10.1.254.2        1528  28    800000EC       1
 Sum-Net   10.1.30.254     10.1.254.1           7  28    800015EC       2
 Sum-Net   10.1.30.254     10.1.254.2         966  28    800000EC       1
 Sum-Net   10.1.50.0       10.1.254.3          24  28    800004E5    65501
 Sum-Net   10.1.50.0       10.1.254.4          23  28    800004E3       2
 Sum-Net   10.1.40.0       10.1.254.1        1093  28    800000EC       1
 Sum-Net   10.1.40.0       10.1.254.2          66  28    800000ED       1
 Sum-Net   10.1.40.254     10.1.254.1           5  28    80001610       2
 Sum-Net   10.1.40.254     10.1.254.2        1698  28    800000EB       1

		         Area: 0.0.0.3
 Type      LinkState ID    AdvRouter          Age  Len   Sequence   Metric
 Router    10.1.254.3      10.1.254.3          25  48    800004F9    65500
 Router    10.1.254.5      10.1.254.5          87  96    800000FB       1
 Router    10.1.254.4      10.1.254.4          23  48    80000500       1
 Sum-Net   10.1.254.6      10.1.254.4          23  28    800004E2       2
 Sum-Net   10.1.254.6      10.1.254.3          24  28    800004E4    65501
 Sum-Net   10.1.200.12     10.1.254.4          23  28    80000516       1
 Sum-Net   10.1.200.12     10.1.254.3          25  28    8000017B    65502
 Sum-Net   10.1.200.8      10.1.254.4          23  28    800007BA       2
 Sum-Net   10.1.200.8      10.1.254.3          24  28    80000217    65500
 Sum-Net   10.1.200.4      10.1.254.4          23  28    800006C3       1
 Sum-Net   10.1.200.4      10.1.254.3          18  28    80000703    65502
 Sum-Net   10.1.200.0      10.1.254.4          13  28    800007DB     101
 Sum-Net   10.1.200.0      10.1.254.3          18  28    80000619    65500
 Sum-Net   10.1.200.20     10.1.254.4          23  28    800004FA       1
 Sum-Net   10.1.200.20     10.1.254.3          24  28    800004E4    65501
 Sum-Net   10.1.200.16     10.1.254.3          25  28    800004F5    65500
 Sum-Net   10.1.200.16     10.1.254.4          23  28    800004E2       2
 Sum-Net   10.1.10.0       10.1.254.4          23  28    80000051       2
 Sum-Net   10.1.10.0       10.1.254.3          18  28    8000004F    65503
 Sum-Net   10.1.10.254     10.1.254.4          23  28    8000008F       2
 Sum-Net   10.1.10.254     10.1.254.3          18  28    8000008B    65503
 Sum-Net   10.1.20.0       10.1.254.4          23  28    80000051       2
 Sum-Net   10.1.20.0       10.1.254.3          18  28    8000004F    65503
 Sum-Net   10.1.20.254     10.1.254.4          23  28    8000007E       2
