
PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
-----  --------  ----------  ----------  -----------------  ----------------
    1    159744  0           2052096     ff83c820/ffffffff  init
 3338    167936  0           1925120     ffffc1f0/ffffffff  portmap
 3376    167936  0           1888256     ffb5dd60/ffffffff  rpc.statd
 3386   3960832  0           42840064    ffeb5d80/ffffffff  sysmgr
 3936    585728  196164812   7548928     ffd5a6b0/ffffffff  xinetd
 3937    679936  77364812    7364608     ffe25630/ffffffff  tftpd
 3938  11542528  138507635   59420672    ff900fa0/ffffffff  syslogd
 3939   3063808  118801478   48328704    fffa51e0/ffffffff  sdwrapd
 3940   1556480  104310976   46907392    ffee9780/ffffffff  pfm_dummy
 3941  23937024  0           70475776    ff95e260/ffffffff  platform
 3953    413696  138507635   6852608     ff8ceaf0/ffffffff  klogd
 3958   3477504  413669836   49893376    ffbc3cc0/ffffffff  vshd
 3960   4755456  390370393   102178816   ff8ff930/ffffffff  vpc_config_sync
 3961   3776512  380823027   50118656    ffa0ae90/ffffffff  smm
 3962   4829184  176198457   50155520    ffe40960/ffffffff  session-mgr
 3963   2256896  394325747   45010944    ff919de0/ffffffff  psshelper
 3964  17514496  344313446   69414912    ff820c10/ffffffff  pixm
 3965  27222016  0           118509568   ffe5c5a0/ffffffff  pdsd
 3966    229376  0           2838528     ffc5c5f0/ffffffff  lmgrd
 3967   2592768  120211238   53891072    ff98de10/ffffffff  licmgr
 3968   1884160  0           47906816    fff7d9e0/ffffffff  fs-daemon
 3969   2097152  0           46268416    ffab0340/ffffffff  feature-mgr
 3970   1871872  0           47202304    ffad6280/ffffffff  confcheck
 3971   3149824  105450892   48451584    ffdca760/ffffffff  capability
 3972   2121728  394177062   44916736    ffe42070/ffffffff  psshelper_gsvc
 3979    225280  0           2859008     ff9998e0/ffffffff  cisco
 3984  14876672  711003110   115617792   ffc542e0/ffffffff  clis
 3989  63479808  1058489344  162869248   ffdf5190/ffffffff  port-profile
 3996   1654784  0           46907392    ffa3cfd0/ffffffff  xmlma
 3997   1892352  116257152   46469120    ffa84e90/ffffffff  vmm
 3998   4485120  138189075   57257984    ffbadc20/ffffffff  vman
 3999   3162112  193385984   53002240    ff840f60/ffffffff  vdc_mgr
 4000   1921024  122001792   44863488    ffcbffa0/ffffffff  ttyd
 4001   3149824  194470988   26632192    ffb02730/ffffffff  sysinfo
 4002   1695744  119346656   49131520    ff8b6150/ffffffff  sksd
 4004   2285568  200066944   50356224    ff9ee930/ffffffff  res_mgr
 4005   1916928  102549286   36757504    ffae9940/ffffffff  plugin
 4006   2396160  0           48787456    ff9b75e0/ffffffff  patch-installer
 4007   2330624  261576198   47534080    ff84d4e0/ffffffff  mvsh
 4008    425984  0           23855104    ff995a90/ffffffff  mping_server
 4009   6623232  127084108   52826112    ffaa6550/ffffffff  module
 4012   2908160  115894873   49012736    ffe6b740/ffffffff  evms
 4015   2473984  366224883   47796224    ffac1120/ffffffff  evmc
 4016   3104768  481834355   49520640    ffb0c2f0/ffffffff  crdcfg_server
 4017   1163264  0           43130880    fff29200/ffffffff  core-dmon
 4018   3428352  102098726   48545792    ffcacd50/ffffffff  cli_acl
 4020   2445312  1287871692  210526208   ff8abea0/ffffffff  ascii-cfg
 4021   1302528  0           44273664    ffd20a30/ffffffff  securityd
 4022   3174400  0           56143872    ff8a6910/ffffffff  cert_enroll
 4023   2023424  0           48447488    fff6f420/ffffffff  aaa
 4025    610304  0           7618560     ffce9490/ffffffff  dhcpd
 4026   8962048  386315353   58855424    fff71120/ffffffff  l3vm
 4027   9719808  770412723   180572160   ffdb7a60/ffffffff  urib
 4033   8101888  989670809   61603840    ffec61f0/ffffffff  aclmgr
 4037  14049280  0           62214144    ff99b550/ffffffff  ori_fwd
 4040  16306176  129298188   60817408    ffc37b40/ffffffff  port_client
 4043   3743744  115493875   53391360    ffd3c9d0/ffffffff  statsclient
 4046  12468224  279505318   74252288    ffc5c6e0/ffffffff  snmpd
 4048   2719744  378538688   48078848    ff84f2f0/ffffffff  eem_policy_dir
 4051   4239360  411857600   80097280    ffeafeb0/ffffffff  npacl
 4060  22429696  499202342   224452608   ffe62170/ffffffff  adjmgr
 4062   7467008  486369984   198254592   ffe2c8e0/ffffffff  u6rib
 4075   2363392  153411315   47562752    ffda66d0/ffffffff  ExceptionLog
 4077   1822720  150757516   49930240    ff99fad0/ffffffff  bootvar
 4078   7905280  131413990   60841984    ff8f0410/ffffffff  ifmgr
 4079   3149824  0           49721344    ffced450/ffffffff  tcap
 4083   5517312  222329113   55918592    ffcdc450/ffffffff  callhome
 4102  55226368  622290828   300777472   ffca5120/ffffffff  arp
 4108   8937472  495088320   235565056   fff1f110/ffffffff  icmpv6
 4131  15745024  383801228   83480576    ff9c0cd0/ffffffff  l2fwd
 4132  18079744  447208537   131846144   ff949d60/ffffffff  pktmgr
 4158  46436352  728239180   335732736   ffbeffa0/ffffffff  netstack
 4198   3383296  345193824   169877504   fff4cff0/ffffffff  radius
 4202   3080192  319045504   170541056   ffdf6100/ffffffff  cdp
 4204  11227136  444699059   59813888    fffaaaa0/ffffffff  cfs
 4208    417792  103569382   23822336    fff0d050/ffffffff  ip_dummy
 4210    417792  103569382   23822336    ffe7e190/ffffffff  ipv6_dummy
 4211   3248128  382422515   50860032    fffc3000/ffffffff  ntp
 4214   3944448  481815232   210845696   ffd711a0/ffffffff  otm
