
OSPF Process 1 with Router ID 10.1.254.2
Link State Database

Area: 0.0.0.0
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1       138     60 80000015            1
 Router    10.1.254.2      10.1.254.2       136     60 80000015            1
 Router    10.1.254.3      10.1.254.3       445     96 80000008            1
 Router    10.1.254.6      10.1.254.6       381     60 80000004            1
 Sum-Net   10.1.10.0       10.1.254.1       723     28 80000002            1
 Sum-Net   10.1.10.0       10.1.254.2       807     28 80000002            1
 Sum-Net   10.1.10.254     10.1.254.1       722     28 80000002            1
 Sum-Net   10.1.10.254     10.1.254.2         9     28 800000e3            2
 Sum-Net   10.1.20.0       10.1.254.1       689     28 80000002            1
 Sum-Net   10.1.20.0       10.1.254.2       748     28 80000002            1
 Sum-Net   10.1.20.254     10.1.254.1       794     28 80000002            1
 Sum-Net   10.1.20.254     10.1.254.2         1     28 8000010a            2
 Sum-Net   10.1.30.0       10.1.254.1       742     28 80000002            1
 Sum-Net   10.1.30.0       10.1.254.2       782     28 80000002            1
 Sum-Net   10.1.30.254     10.1.254.1        31     28 80000101            2
 Sum-Net   10.1.30.254     10.1.254.2       747     28 80000002            1
 Sum-Net   10.1.40.0       10.1.254.1       792     28 80000002            1
 Sum-Net   10.1.40.0       10.1.254.2       763     28 80000002            1
 Sum-Net   10.1.40.254     10.1.254.1        20     28 800000e7            2
 Sum-Net   10.1.40.254     10.1.254.2       676     28 80000002            1
 Sum-Net   10.1.50.0       10.1.254.3       445     28 80000003            2
 Sum-Net   10.1.60.0       10.1.254.3       445     28 80000003            2
 Sum-Net   10.1.110.0      10.1.254.1       782     28 80000002            1
 Sum-Net   10.1.110.0      10.1.254.2       781     28 80000002            1
 Sum-Net   10.1.110.254    10.1.254.1       700     28 80000002            1
 Sum-Net   10.1.110.254    10.1.254.2      1143     28 8000000b            2
 Sum-Net   10.1.120.0      10.1.254.1       813     28 80000002            1
 Sum-Net   10.1.120.0      10.1.254.2       767     28 80000002            1
 Sum-Net   10.1.120.254    10.1.254.1       814     28 80000002            1
 Sum-Net   10.1.120.254    10.1.254.2        56     28 80000004            2
 Sum-Net   10.1.200.24     10.1.254.3       445     28 80000003            1

Area: 0.0.0.1
----------------------------------------------------------------------------
 Type      LinkState ID    AdvRouter        Age    Len Sequence       Metric
 Router    10.1.254.1      10.1.254.1         5     96 80000186            1
 Router    10.1.254.2      10.1.254.2         4     96 800001a0            1
 Network   10.1.10.252     10.1.254.2       672     32 80000002            0
 Network   10.1.20.252     10.1.254.2       666     32 80000002            0
 Network   10.1.30.252     10.1.254.2       651     32 80000002            0
 Network   10.1.40.252     10.1.254.2       670     32 80000002            0
 Sum-Net   10.1.50.0       10.1.254.1       482     28 80000003            3
 Sum-Net   10.1.50.0       10.1.254.2       368     28 80000003            3
 Sum-Net   10.1.60.0       10.1.254.1       504     28 80000003            3
 Sum-Net   10.1.60.0       10.1.254.2       533     28 80000003            3
 Sum-Net   10.1.110.0      10.1.254.1       724     28 80000002            1
 Sum-Net   10.1.110.0      10.1.254.2       673     28 80000002            1
 Sum-Net   10.1.110.254    10.1.254.1       764     28 80000002            1
 Sum-Net   10.1.110.254    10.1.254.2      1143     28 8000000b            2
 Sum-Net   10.1.120.0      10.1.254.1       809     28 80000002            1
 Sum-Net   10.1.120.0      10.1.254.2       715     28 80000002            1
 Sum-Net   10.1.120.254    10.1.254.1       658     28 80000002            1
 Sum-Net   10.1.120.254    10.1.254.2        61     28 80000004            2
 Sum-Net   10.1.200.0      10.1.254.1       674     28 80000002            1
 Sum-Net   10.1.200.0      10.1.254.2       475     28 80000003            2
 Sum-Net   10.1.200.4      10.1.254.1        44     28 80000006            1
 Sum-Net   10.1.200.4      10.1.254.2       136     28 80000007            3
 Sum-Net   10.1.200.8      10.1.254.1       465     28 80000003            2
 Sum-Net   10.1.200.8      10.1.254.2       794     28 80000002            1
 Sum-Net   10.1.200.12     10.1.254.1       258     28 80000003            3
 Sum-Net   10.1.200.12     10.1.254.2       136     28 8000000a            1
 Sum-Net   10.1.200.16     10.1.254.1       539     28 80000003            2
 Sum-Net   10.1.200.16     10.1.254.2       439     28 80000003            2
 Sum-Net   10.1.200.24     10.1.254.1       485     28 80000003            2
 Sum-Net   10.1.200.24     10.1.254.2       457     28 80000003            2
 Sum-Net   10.1.254.6      10.1.254.1       436     28 80000003            3
 Sum-Net   10.1.254.6      10.1.254.2       373     28 80000003            3
